,date,time,real_price,price_change,buy_price,sell_price,high,low,close_price,open_price,pisition
0,2017-09-08,15:58:49,1352.90,0.4529,1352.90,1353.20,1357.61,1347.51,1346.80,1348.88,0
0,2017-09-08,16:22:53,1353.87,0.5250,1353.87,1354.17,1357.61,1347.51,1346.80,1348.88,0
