,date,time,real_price,price_change,buy_price,sell_price,high,low,close_price,open_price,pisition
0,2017-09-08,16:02:50,1358.0,0.5702,1358.0,1358.1,1362.4,1352.3,1350.3,1353.9,12527
0,2017-09-08,16:03:42,1358.1,0.5776,1358.1,1358.2,1362.4,1352.3,1350.3,1353.9,12538
0,2017-09-08,16:20:02,1358.3,0.5925,1358.2,1358.3,1362.4,1352.3,1350.3,1353.9,12730
0,2017-09-08,16:21:33,1358.7,0.6221,1358.6,1358.7,1362.4,1352.3,1350.3,1353.9,12752
