Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2006/11/7,455640,69676,146344,24643,64715,33594,79413,30100,62223,36424,6370,87798,393772,431144,61868,24496
2006/11/14,476072,75827,158575,23369,66754,37660,81805,27808,64657,40068,6318,90355,413741,452128,62331,23944
2006/11/21,474432,71887,153358,24292,64583,39832,79463,27921,66093,37885,6093,92937,412390,450816,62042,23616
2006/11/28,423676,62564,141730,22103,66127,25387,77611,29840,64350,41021,7103,66750,359787,401287,63889,22389
2006/12/5,415169,56787,138379,22467,66259,26273,83017,28109,60357,37523,7141,66564,352989,393082,62181,22088
2006/12/12,411990,56527,138696,27470,64889,26131,80167,28486,63196,37573,7306,64414,355477,393118,56513,18872
2006/12/19,416337,62701,137892,32664,61671,27451,69911,29269,68727,36613,7969,64077,362145,397056,54193,19281
2006/12/26,415984,62269,139328,33014,62964,26511,71209,32791,67978,37763,7877,62509,361253,399958,54732,16027
2007/1/3,434040,59523,142026,31482,65185,25567,79570,31903,73234,39645,9061,66008,375030,412985,59010,21055
2007/1/9,426897,61731,126344,37098,56369,30865,66123,40894,75334,35992,8708,64933,372076,403448,54821,23449
2007/1/16,421266,63169,129454,30226,61019,32054,69652,34377,72429,38574,9086,62049,368154,400469,53111,20797
2007/1/23,457878,68321,148973,26441,73518,32854,89090,29885,76059,41420,10603,62889,397073,434780,60805,23098
2007/1/30,426462,55258,148386,26517,77936,23460,102396,29413,70219,42746,9567,50660,371256,409642,55206,16820
2007/2/6,449381,53021,158799,26714,78368,29153,111899,27788,74039,41638,9683,54650,391113,432479,58267,16901
2007/2/13,482168,55706,171493,25859,87371,30120,124329,25039,78738,43595,10570,59944,418291,463275,63877,18893
2007/2/20,494298,55735,175612,27507,87292,34982,124341,26184,82412,44786,5190,61071,430835,472744,63463,21553
2007/2/27,533271,63467,191610,26700,92566,37914,139549,23707,89258,41524,9002,71218,469630,515275,63641,17996
2007/3/6,487871,67506,166752,33223,79172,38551,90785,22161,83650,42914,5723,67609,424240,463619,63632,24252
2007/3/13,494886,73613,169949,33638,76957,44751,86558,18569,88309,40182,6682,67014,434066,472232,60820,22654
2007/3/20,467591,64307,159361,35305,78028,40505,84751,18921,74498,38492,6968,67953,405811,446234,61780,21357
2007/3/27,437206,57504,154666,32372,82112,31186,88578,19742,67573,37323,6142,55290,369825,416710,67380,20496
2007/4/3,430640,62112,149146,31909,83086,27230,92989,23202,70297,38242,9120,49940,372719,412020,57921,18620
2007/4/10,463667,60893,166798,30740,87186,30795,108209,23313,71328,42436,9191,54566,398967,443177,64701,20490
2007/4/17,484425,57646,174533,30180,98098,30289,126468,18917,71520,44557,10182,58508,419169,462048,65256,22377
2007/4/24,504386,59749,181812,33311,94056,32754,125890,21709,80751,43591,6918,60763,436810,478763,67577,25623
2007/5/1,482965,57725,182217,37018,89605,28122,124836,19889,79369,40660,8057,52896,420628,460155,62337,22810
2007/5/8,505498,62808,189635,34764,93103,32300,131327,16251,83809,39133,9194,56229,440371,480521,65127,24977
2007/5/15,495194,66863,168874,37964,95003,32609,108506,20297,90608,42289,8471,53614,432453,469476,62742,25718
2007/5/22,503146,73853,164317,44438,90054,26720,95343,27385,100656,47005,10594,52203,440218,471928,62928,31219
2007/5/29,485884,82272,163045,46864,88469,18271,91443,29139,99279,43179,9283,41228,422537,448713,63347,37170
2007/6/5,451514,64162,156770,44382,95397,18877,101396,25188,87744,42242,6530,41331,400134,431836,51380,19678
2007/6/12,481714,84254,150422,51723,86062,23152,79076,39126,105462,44274,8830,44250,432191,457304,49523,24410
2007/6/19,481432,83004,149727,47510,95032,21873,78843,31482,110262,44491,8507,43726,429709,460609,51723,20823
2007/6/26,477171,84402,143489,52049,76836,25120,69708,48214,107912,46816,7880,43234,429241,452685,47929,24486
2007/7/3,445464,70061,136688,48544,74358,23917,68208,36039,100074,39725,7750,44768,395297,423594,50167,21870
2007/7/10,460710,71637,143092,45292,80356,25414,71915,34289,102819,40564,5985,45554,403195,437509,57515,23201
2007/7/17,458921,67324,142865,40923,79874,30946,72527,28782,98268,41246,6302,47252,398485,434289,60436,24632
2007/7/24,490884,60863,158866,29235,100613,32951,115624,17340,96703,39545,10444,53106,428027,470023,62857,20861
2007/7/31,425305,61552,138356,35442,76052,28036,77884,20906,88170,36541,10782,44615,372241,406918,53064,18387
2007/8/7,429149,57648,136314,34549,83339,27179,86561,20623,86767,37917,11213,45403,376025,410839,53123,18309
2007/8/14,428617,57938,141354,32804,82688,28854,79860,11683,86862,40721,10881,47753,374792,410075,53825,18542
2007/8/21,418657,66989,129005,36508,70155,31838,66002,22190,82230,35112,9499,51172,369850,396088,48806,22568
2007/8/28,407664,63998,135637,34051,67970,30942,68510,15331,79324,36699,9028,47485,361009,385717,46655,21948
2007/9/4,432389,56352,145069,27118,75492,33372,91293,10842,77362,40962,15426,50772,377232,408335,55157,24053
2007/9/11,499547,52783,174378,29456,87334,45429,119444,7910,79417,45946,15416,64555,437030,474439,62517,25108
2007/9/18,522636,53199,183988,31102,95566,44670,137497,6743,81849,40760,12705,68854,457931,494376,64705,28260
2007/9/25,550958,58900,208880,28160,104356,38934,159196,8344,89171,48089,9444,61402,483851,520530,67107,30428
2007/10/2,559674,56032,218921,28406,98937,36063,171358,11097,94227,43990,9339,65814,495891,534400,63783,25274
2007/10/9,582150,56772,235385,25522,97308,38016,185345,7397,102176,43667,9964,68944,520441,559190,61708,22959
2007/10/16,623197,58172,242948,24640,104548,42573,197709,7659,103941,45041,10307,83390,555466,595366,67731,27831
2007/10/23,637345,61367,238994,27943,99802,45706,187834,8117,120343,39528,9376,88842,571563,611180,65782,26165
2007/10/30,673656,68360,261952,32065,99525,50053,199189,7064,128552,37772,8996,91457,607447,647598,66208,26058
2007/11/6,733716,76518,278885,30846,92999,56181,204334,11239,149953,38300,8655,103098,659230,701010,74487,32706
2007/11/13,716152,82878,276687,29219,81759,63251,189169,8126,144851,37814,9574,97903,645086,682153,71066,33999
2007/11/20,673449,88087,278129,26004,67626,62395,174430,7894,121126,35131,10116,100458,607630,647742,65819,25707
2007/11/27,623013,97314,286887,32881,65142,41164,165820,9088,110614,44149,12497,62936,554877,588328,68136,34685
2007/12/4,589490,94181,274740,30319,70002,32979,152930,5206,111099,41215,9430,65147,527870,568603,61620,20887
2007/12/11,595037,86538,261809,30515,80840,34219,158688,5255,114188,40416,10266,68710,533273,575285,61763,19752
2007/12/18,605938,86178,262211,28477,77587,36506,158884,8353,117982,42031,10016,71309,541366,583963,64572,21975
2007/12/24,636180,90101,275542,31745,83903,37317,168628,7013,128510,45373,9684,73183,574857,615153,61323,21028
2007/12/31,671656,94136,286849,30166,91710,40468,187722,9320,132769,44032,10623,75941,605234,647681,66422,23975
2008/1/8,712073,91421,280250,31687,105646,55738,197391,10974,132214,43055,11469,89454,640962,685745,71111,26328
2008/1/15,763873,95829,288494,34015,106430,74756,201910,11009,140251,44564,10937,102276,693602,734154,70271,29719
2008/1/22,729446,85882,267234,34662,110785,64086,198429,9548,124029,41037,11957,103498,651623,691138,77823,38308
2008/1/29,644842,85872,267580,32484,112314,44121,194518,7828,92764,45151,11857,75738,570649,612203,74194,32639
2008/2/5,616126,78052,244644,33315,124633,42096,194487,8738,86577,43747,11653,73093,551367,591434,64759,24692
2008/2/12,608654,69211,235755,34142,126330,45567,194404,11209,71888,48280,12328,80756,544248,583833,64407,24822
2008/2/19,632515,71708,247492,35124,126413,47703,204387,11006,71779,47579,17087,85535,563814,607015,68701,25500
2008/2/26,646391,72523,249532,37253,128403,48316,201838,10136,73124,52827,22437,84653,570532,616599,75858,29792
2008/3/4,652339,65558,238074,39735,124573,53764,194949,12834,76591,47994,20631,97215,575806,623682,76533,28657
2008/3/11,653481,58746,238527,38864,121369,66140,192807,10687,74925,48905,18237,99251,579637,629137,73844,24344
2008/3/18,677503,66661,254357,45261,111799,66982,185864,11542,81137,47581,17542,108468,601955,651826,75548,25676
2008/3/25,621294,65921,220898,37011,106591,62182,173476,11632,70900,43822,15004,97513,550825,584719,70469,36575
2008/4/1,527365,65471,207540,38730,101172,36837,151345,10862,64132,41615,11779,72263,470393,504585,56972,22780
2008/4/8,541247,64811,209456,38220,100501,39524,156457,13888,68942,42652,10534,75780,486386,518624,54861,22622
2008/4/15,560461,64277,219367,40657,103453,40736,161728,11157,73311,43030,12125,77826,501566,537976,58895,22485
2008/4/22,560056,69245,224203,41385,99466,39422,162435,11157,74341,40742,14214,77198,504768,540000,55288,20057
2008/4/29,555068,70964,213558,44257,93236,40008,155439,17386,70372,37200,10839,77242,495481,522640,59586,32428
2008/5/6,564330,76829,215222,44593,92857,44236,152671,22390,74351,35830,9016,80056,508566,538128,55763,26202
2008/5/13,569844,77799,216381,46159,88811,47904,153583,28928,69233,38806,9643,81369,514853,542269,54991,27575
2008/5/20,595544,69087,230168,37257,98698,56347,169720,13791,70849,41871,12005,88358,533489,570216,62055,25328
2008/5/27,526321,60619,215539,34913,103300,31834,171338,18399,58617,48411,8584,59485,465217,495758,61104,30563
2008/6/3,498320,61710,208240,37908,97764,30407,160487,20707,55906,39200,7268,57316,442933,477609,55387,20711
2008/6/10,500937,59329,190989,43541,98369,32390,148372,28865,58521,40547,8120,63007,445708,480262,55229,20675
2008/6/17,499699,62494,190362,38689,101356,35159,141686,18591,58324,40007,8366,66661,443019,478819,56680,20881
2008/6/24,520630,62585,185673,40310,109701,36530,148106,23449,57900,42592,11674,70424,458448,495352,62182,25278
2008/7/1,570018,67403,209382,33563,128164,38114,180597,17634,57884,46325,15870,75965,499852,543014,70165,27004
2008/7/8,576516,74725,219973,32333,124900,39796,179882,16992,55300,47167,14855,77044,506246,548861,70270,27656
2008/7/15,650891,92417,261283,31916,129656,45609,192011,15699,59976,58165,14778,91614,571709,618616,79182,32276
2008/7/22,627575,89355,256090,31091,119988,46502,182871,13240,62508,54391,14386,88717,555435,601431,72140,26144
2008/7/29,557468,87803,232010,27231,111979,37457,162434,11853,66152,50756,12984,65752,497586,538187,59882,19281
2008/8/5,521480,74640,203469,32223,105620,38726,145480,11508,57550,43004,13232,66965,458587,497069,62893,24411
2008/8/12,495782,80559,163894,35974,102025,41275,107342,16354,55301,41827,11988,77185,439461,468021,56320,27761
2008/8/19,508294,97680,163482,41820,98547,41957,92962,20261,60783,39252,10603,80076,454532,475709,53762,32585
2008/8/26,501737,103358,156069,39228,100139,40724,94565,28607,60713,39923,11997,74488,452999,472738,48737,28999
2008/9/2,505297,109591,153082,42586,96360,41264,87572,35789,62024,37443,9359,74936,455417,472815,49880,32482
2008/9/9,521693,117265,154188,49100,92835,44816,82752,41529,63555,35067,9491,80194,472750,486608,48943,35084
2008/9/16,538058,120073,145855,32609,93224,50503,87324,43814,65521,40290,12777,92794,489114,504488,48944,33570
2008/9/23,538850,94211,164512,23911,89588,54818,99464,23676,63385,47262,9987,101285,484335,507252,54515,31598
2008/9/30,490130,81855,159892,28909,89546,46946,92743,13599,57648,40378,6780,86808,435288,461219,54842,28910
2008/10/7,490812,77562,154835,31036,86632,48415,92655,17263,57504,39691,4674,90332,437196,459656,53617,31156
2008/10/14,482650,68144,148896,35205,77947,55224,88855,14359,54497,34249,6517,92215,428389,449656,54261,32994
2008/10/21,483544,76207,146503,42556,71609,54734,78113,18129,54845,33112,5087,98882,438450,449790,45094,33754
2008/10/28,481118,81897,141942,43959,63764,57686,73843,22835,50682,32509,12772,101080,441656,450761,39462,30356
2008/11/4,470721,70639,125360,43622,60071,62633,76604,24951,43612,30593,21081,103396,431100,441104,39621,29617
2008/11/11,460180,70589,128819,46550,47524,56807,71104,29209,39815,31765,21664,106041,422670,429879,37509,30301
2008/11/18,454194,73562,136217,41357,42733,53567,69580,24128,35593,30931,20350,105167,409757,417755,44437,36439
2008/11/25,397306,62288,150008,31418,46168,38764,80611,15263,27465,37373,13123,76266,354185,367057,43122,30249
2008/12/2,385038,57540,148654,34793,45544,36344,76864,8458,26480,35543,13149,77013,344577,355641,40462,29397
2008/12/9,382946,59739,148456,33605,46485,36229,77409,11650,24366,33595,10347,77965,342909,355500,40037,27446
2008/12/16,418216,60712,167093,27787,56962,37773,94224,11743,26428,42692,5919,82792,372407,388709,45809,29507
2008/12/22,426122,62030,169898,27254,65220,37772,103404,6481,27831,42354,7624,83910,384556,398737,41566,27386
2008/12/30,431499,60179,176298,27775,68483,37199,108170,7245,28359,45836,8468,77095,384613,403147,46886,28352
2009/1/6,451283,63719,188240,32264,70178,37568,113584,6107,32057,45794,8519,77222,402207,419891,49075,31392
2009/1/13,444004,67301,190204,31994,62417,38128,107083,6784,31373,45378,7919,77086,398344,413910,45660,30094
2009/1/20,470121,68061,191781,35468,65548,47532,111680,7755,34826,42972,9882,80210,420749,437534,49373,32587
2009/1/27,482631,71841,212039,36138,67941,43927,126777,11216,32098,46878,9919,69850,427509,446990,55123,35641
2009/2/3,482938,66978,220035,34444,73701,45177,139201,10530,20189,50733,11300,71487,428208,452419,54730,30519
2009/2/10,497376,68184,230437,32717,74426,48329,144144,10534,19715,53939,10337,76078,443107,469856,54269,27520
2009/2/17,533721,69025,237807,29086,75965,54603,147250,12335,21951,60116,10936,89149,471180,502746,62541,30975
2009/2/24,544159,67205,237089,34594,73642,58560,148390,8681,21294,59116,20235,92121,481280,511622,62879,32537
2009/3/3,521048,62628,232654,37237,70926,57528,148764,5337,20912,47847,18798,85244,460160,491399,60888,29649
2009/3/10,520943,64571,226713,38430,62305,60346,142306,5780,27442,41279,22251,84773,459147,489610,61796,31333
2009/3/17,531340,83163,240258,35983,69449,56030,141111,4782,29088,40955,14217,87209,473539,501034,57801,30307
2009/3/24,550217,96217,255050,30771,69657,60470,141063,6828,26777,44379,12496,91960,491637,523238,58581,26979
2009/3/31,501780,80862,233345,25564,70665,49489,144361,7273,24017,44910,13775,74591,443792,473153,57988,28627
2009/4/7,472002,67182,193681,29564,68422,49433,131565,14871,25248,37634,16853,74734,415359,443243,56643,28759
2009/4/14,464050,59958,183551,26804,69541,50354,131275,13026,25060,39015,17011,75504,407970,434047,56080,30003
2009/4/21,468927,61978,181266,28071,65758,51999,129820,13222,28018,37132,20368,78052,415072,438683,53855,30244
2009/4/28,470135,59734,183723,26131,68596,51791,130349,14037,26779,42034,18214,75910,412728,439050,57407,31084
2009/5/5,472679,51774,181141,26120,71147,50451,133629,9803,26243,43852,25631,78475,410544,442891,62134,29788
2009/5/12,494888,52875,192636,23398,73874,53246,144310,8904,26915,48637,28163,84000,433380,467737,61507,27151
2009/5/19,507912,56687,206884,23424,79735,50769,148070,8332,29749,47576,16442,89205,445479,481116,62433,26796
2009/5/26,518847,50988,218211,28093,83085,48399,162565,8500,34596,54267,18408,71419,450328,482619,68519,36228
2009/6/2,533716,55351,237995,25008,87802,50297,171718,4703,37223,54817,16949,74831,469246,509801,64471,23915
2009/6/9,522637,51775,230031,26042,86399,50790,174980,2691,36538,47701,18631,72669,460495,497749,62142,24888
2009/6/16,503662,51238,217559,27722,78668,50889,161427,4408,35536,46621,20536,71911,445345,479507,58317,24155
2009/6/23,495029,49382,206929,30091,74018,52643,155695,7935,35668,43152,19955,70320,436949,467468,58079,27561
2009/6/30,496694,50138,212486,31769,75250,51158,154393,8200,36962,43566,20024,67345,435330,471425,61363,25269
2009/7/7,489899,51559,211788,34196,74405,51680,151197,3025,35347,43631,20742,67326,434935,464313,54963,25586
2009/7/14,494289,49888,197620,35152,73364,59590,145566,7890,36297,41767,19144,73373,441633,467279,52656,27010
2009/7/21,523285,51908,206114,32290,91869,57980,162239,3563,41722,41299,18915,76454,463893,496617,59392,26668
2009/7/28,497393,50025,205882,32885,85538,52773,159258,5378,40093,41537,18558,66031,442602,474253,54791,23140
2009/8/4,519409,49650,213133,29561,106393,50588,181154,3942,35705,42452,15490,70237,459348,495488,60061,23921
2009/8/11,504419,46600,209352,30934,100642,47718,171560,4808,34965,44455,13468,68929,445160,479881,59259,24538
2009/8/18,493315,48495,195785,31219,94692,48362,156516,11427,34440,49319,12951,69695,438045,467352,55270,25963
2009/8/25,501066,48075,201261,32145,99141,48511,159473,5034,36687,49613,14442,69660,444164,474736,56902,26330
2009/9/1,506321,48686,187548,31942,119410,47755,160821,5062,36526,50585,14322,69340,445655,479964,60666,26358
2009/9/8,602564,52591,246274,32242,128770,52122,201961,3493,43025,60043,16525,82875,524859,573085,77705,29480
2009/9/15,622094,51596,248426,30179,139660,51291,214661,821,43992,59292,17949,85194,536204,587332,85890,34762
2009/9/22,628409,52699,246474,29950,144117,52765,215058,827,43773,59651,18359,87988,541885,594303,86523,34106
2009/9/29,575097,55434,240761,29322,132303,41781,202842,1327,39870,57577,16598,71337,498164,543977,76933,31121
2009/10/6,634969,53146,246383,29223,140568,48851,223948,3562,42477,60156,21053,83214,541015,586108,93954,48862
2009/10/13,671445,55799,264432,31472,147443,52439,241446,2503,46192,64197,22515,92563,584108,628086,87337,43359
2009/10/20,676857,55734,264501,30549,150126,51666,240792,2654,52062,60682,20465,98408,589892,639882,86965,36975
2009/10/27,651634,53986,249958,31917,144977,54287,221910,1998,53486,63583,18469,86081,565250,609256,86385,42378
2009/11/3,687283,59276,259318,32796,148484,62102,236967,4267,59837,60878,22014,105497,617354,661520,69929,25763
2009/11/9,737391,59336,261441,37341,154291,66302,235180,3427,61968,65970,24916,119711,645808,692055,91583,45336
2009/11/17,773681,63986,262716,38508,151550,77853,233504,3834,57906,66314,25218,140253,678323,719330,95358,54351
2009/11/24,693661,54999,264824,41308,150286,66216,233039,4083,40519,69693,25096,101935,607709,652959,85951,40701
2009/12/1,717426,59291,258567,39888,163559,70468,232099,7164,42095,73133,25650,109102,626077,676605,91349,40820
2009/12/8,694650,55227,254094,35335,148122,66544,216761,4108,49647,76714,24592,108808,609037,655914,85613,38736
2009/12/15,692120,55461,258031,33827,149731,64770,215204,3891,48518,76319,19665,111007,605107,655615,87014,36505
2009/12/22,688212,56915,255533,39355,142068,61654,207168,5380,53921,69232,21682,114170,602416,654407,85796,33804
2009/12/29,669947,57850,249131,38684,140856,61760,203584,6024,51428,64083,19697,109727,587116,638623,82830,31324
2010/1/5,691557,57571,251160,39309,141799,65608,201286,6696,58148,66744,18926,113535,602202,655872,89355,35684
2010/1/12,709092,57469,260889,37971,138499,67526,205311,10966,65723,71908,17893,117004,622910,678498,86182,30594
2010/1/19,722085,60397,258542,41029,138746,73067,204120,8013,70274,64543,19035,122378,635809,690055,86276,32030
2010/1/26,651455,57233,233770,43862,129080,60761,184073,7917,55887,67775,21001,100177,569768,608594,81687,42862
2010/2/2,638521,52255,218920,41942,133379,63853,189560,8475,56313,62566,21369,100809,567299,603118,71222,35403
2010/2/9,632281,56950,204865,48420,123603,62848,169333,13710,58086,57758,24736,106977,560372,594825,71909,37456
2010/2/16,609964,56415,193827,43117,131137,58927,169899,10591,61047,56321,22284,88850,534576,566663,75387,43301
2010/2/23,630275,50677,209972,39339,131458,62551,174352,6672,58537,64607,20466,103322,553385,592976,76890,37298
2010/3/2,657701,51040,218144,40194,141967,68477,185798,5924,65228,62600,19569,107013,580351,626324,77351,31378
2010/3/9,666239,56355,221675,42802,147154,68926,182721,5002,64212,65852,19934,108112,588980,635015,77259,31223
2010/3/16,675464,65723,218615,42731,151259,57996,179677,6712,74813,65261,20947,113009,599211,643350,76254,32114
2010/3/23,665203,73785,212488,43894,145912,60067,165927,9152,74028,60128,18675,112950,590779,633272,74425,31931
2010/3/30,603626,74776,209910,56691,144439,46374,157723,8324,58472,55920,18535,92022,541978,578077,61647,25549
2010/4/6,648116,64728,228575,57305,161305,48542,185616,7233,63161,67637,22168,93764,580753,624748,67364,23368
2010/4/13,696345,66076,250931,62444,169833,54791,205120,3862,63676,67960,21939,105617,625684,670649,70661,25696
2010/4/20,682040,66339,253161,66086,163544,54122,202279,4528,61437,54010,17184,103027,607301,657004,74740,25037
2010/4/27,701919,67524,257420,67477,171945,58879,216063,5362,56767,62381,21638,94953,624045,666966,77874,34953
2010/5/4,735006,70192,271649,68339,171851,66222,221508,7369,58772,66511,19660,107293,658838,702816,76168,32190
2010/5/11,828659,75671,309873,80670,170857,86075,233803,6608,58173,69609,20495,136861,740862,788942,87797,39718
2010/5/18,836014,74937,311829,84458,171864,89738,234181,3759,60100,62896,18549,145289,751598,801128,84415,34886
2010/5/25,776675,75964,289919,79663,161807,67174,216386,5358,61140,63070,20768,135740,699137,741906,77539,34770
2010/6/1,751380,79559,297114,83945,167859,68160,216349,3934,53938,63294,19514,109910,675154,720428,76225,30951
2010/6/8,787244,85896,310273,85365,172091,71645,222539,4415,54632,65767,20423,120711,706555,754190,80689,33054
2010/6/15,782911,84856,312457,86158,175009,72807,220704,2988,52203,67628,19361,120224,704581,755049,78331,27863
2010/6/22,825811,91405,321550,88232,184658,76953,231253,3422,58636,66123,19751,127013,739614,791983,86197,33828
2010/6/29,820732,90351,307369,87876,190766,81212,227944,5281,60891,67024,16663,126121,741419,788304,79313,32428
2010/7/6,787211,98644,285432,86640,173843,84521,200009,11375,55757,61869,19122,124749,712189,754799,75022,32411
2010/7/13,777861,96779,284562,84332,173807,83750,194904,7827,55561,60571,15676,127342,703239,748525,74623,29336
2010/7/20,777591,118061,277464,85800,164524,76303,174379,21666,61815,61673,15572,129698,707729,747042,69862,30548
2010/7/27,727447,95180,263246,85850,160816,67955,168540,14159,66672,64926,16576,105855,654977,695277,72470,32169
2010/8/3,695147,88354,245193,82843,165101,67400,171429,13010,56694,58794,15657,104374,629888,667429,65260,27718
2010/8/10,703935,84578,244353,82259,171685,66714,171806,10684,59636,60823,13981,110014,635830,677068,68104,26867
2010/8/17,743672,82496,254625,82813,183563,70418,188039,5763,63633,64147,19459,118768,670314,716229,73358,27443
2010/8/24,763300,82079,263755,83884,191169,70684,208460,5989,62414,61640,18656,121838,691000,734505,72301,28796
2010/8/31,781195,81311,271629,82459,200893,71180,222518,6253,64594,64743,20094,117594,704399,752238,76796,28957
2010/9/7,799564,81294,275142,81749,201812,72391,224342,5444,67507,67420,21685,123833,718536,767815,81029,31750
2010/9/14,822441,84426,278251,78939,206941,74879,234008,6624,69686,68446,23841,130118,740502,790341,81938,32099
2010/9/21,831929,82500,275268,82556,211953,77099,228026,4898,70067,72140,22981,137241,749629,799508,82301,32421
2010/9/28,840745,86140,283090,86614,215688,76877,238044,5824,71286,73513,25353,124560,757034,802677,83711,38068
2010/10/5,873968,87721,285313,86807,212710,81776,232406,7132,71519,83363,25175,151140,794731,834765,79237,39204
2010/10/12,889504,91001,291428,83484,209273,87118,237943,8400,69220,78301,25590,163601,810667,854630,78836,34874
2010/10/19,909477,89295,289840,84924,203882,90096,227826,9765,92630,81841,23986,162258,828870,872457,80606,37019
2010/10/26,862669,84655,276694,85250,197275,90040,216125,10167,86289,74637,21126,145057,782053,826649,80616,36021
2010/11/2,897868,93954,289329,87403,193368,95532,219020,14318,88186,71845,23009,161492,817432,865235,80436,32633
2010/11/9,979800,98648,307574,86060,190637,108592,215781,14785,109267,89226,22921,186604,894178,940380,85622,39419
2010/11/16,924518,102820,281258,85244,194658,96930,187763,14696,103017,84945,18660,175486,836206,884706,88312,39812
2010/11/23,813977,95013,271953,87861,192152,69027,191170,13901,84668,78391,18417,121466,727596,771584,86381,42393
2010/11/30,804955,93383,267484,84307,199476,69190,192714,9998,78802,81000,18917,126161,725556,770028,79398,34927
2010/12/7,829161,92405,277432,83914,197859,74932,194057,10320,79669,83182,15491,136157,744315,791859,84845,37302
2010/12/14,818562,94493,269026,84398,201010,75062,185171,11412,77903,80690,13024,137647,735364,785084,83198,33478
2010/12/21,800320,98031,262351,88085,201348,74109,175209,14054,69569,82260,13514,134674,721936,769618,78384,30702
2010/12/28,803377,96558,263269,86067,203553,73070,182556,12569,69388,81437,13743,131541,720617,767133,82761,36245
2011/1/4,796505,98203,266572,83902,195225,73965,175122,16463,65859,81822,15758,127927,706801,761770,89704,34735
2011/1/11,795947,104066,262202,86314,180371,74921,164366,20130,76497,77085,19435,132937,716186,766492,79762,29456
2011/1/18,801933,107588,249301,84739,176646,75399,162160,27687,77921,81894,26933,134514,724216,768400,77717,33532
2011/1/25,735631,93584,224053,83639,169650,81176,160167,30503,23995,74550,28385,141349,658461,699112,77170,36519
2011/2/1,641234,78396,205970,70081,157157,68204,149663,24869,19350,72727,26814,108731,567153,611097,74080,30137
2011/2/8,653146,77112,210094,65668,168662,70677,164435,18589,18205,72703,27268,108440,577240,621935,75906,31211
2011/2/15,664111,78018,214674,62141,172660,72916,172360,12546,19087,70800,31189,111407,586728,634479,77382,29631
2011/2/22,725747,80685,228410,62529,181595,84656,194563,11824,26347,66375,35865,125243,640398,693939,85348,31807
2011/3/1,741438,80310,236904,61598,191124,84706,210620,9536,24444,64564,35323,128723,654965,710760,86472,30678
2011/3/8,740976,83160,244890,60097,183817,79412,206489,7268,24530,62111,35259,137569,653368,712746,87608,28231
2011/3/15,735415,89527,237409,63308,169161,85915,194037,10129,30126,57221,35514,138323,658457,706577,76958,28838
2011/3/22,741348,86304,242402,63614,170359,82967,192838,3636,29872,52285,30953,151496,659377,711685,81971,29663
2011/3/29,672647,90548,251937,58194,160890,70134,201651,2339,21313,47544,32873,106640,596024,646126,76623,26520
2011/4/5,710994,90652,258818,60627,179552,71056,222483,5615,18036,49230,35339,112751,624836,681168,86158,29826
2011/4/12,720941,92112,263415,61567,173447,71338,216201,5106,21851,54163,36366,121700,638932,693222,82009,27720
2011/4/19,780145,92155,279216,62546,179989,79119,231621,3044,24213,59571,36438,143801,693025,745820,87119,34324
2011/4/26,763754,93911,269523,66913,179355,80995,224168,3620,24564,56854,39092,131596,679002,728744,84752,35010
2011/5/3,805910,90578,271433,66490,171247,91708,222216,3961,34234,55911,37662,159802,720939,770047,84972,35863
2011/5/10,788164,95856,270595,75175,160388,96141,204903,6296,30940,50912,36555,153977,707904,754892,80260,33272
2011/5/17,772908,100266,264748,75722,150861,98049,190135,4750,32838,44723,35128,155397,697131,741772,75777,31136
2011/5/24,831374,109812,285253,72233,156589,98124,207327,8812,40940,48129,33128,176223,752786,799069,78587,32305
2011/5/31,715858,96223,276956,66042,158492,69790,212360,5566,23960,49134,32943,121380,638888,689088,76969,26770
2011/6/7,730025,91400,276836,70616,166585,71981,219432,3212,25357,46307,31233,128108,653200,703312,76825,26714
2011/6/14,718929,92931,271735,70470,161093,73555,208836,5016,24413,47915,29883,127608,645727,693303,73202,25626
2011/6/21,750516,95517,284729,68045,167242,71448,230545,4044,24735,47521,35234,134809,672620,722241,77896,28275
2011/6/28,703831,99658,260954,72645,151206,69646,187203,5847,25696,45638,32437,127066,627553,672853,76279,30979
2011/7/5,702311,100404,255914,70471,148811,72738,183054,5263,27157,44191,34859,129933,627948,674674,74364,27637
2011/7/12,775360,100862,284650,63317,163800,80897,228630,6446,23035,53774,39765,144417,694932,743010,80428,32350
2011/7/19,854141,108672,299067,59576,177225,89820,243363,5044,38514,59465,34721,174548,773959,818939,80183,35203
2011/7/26,791632,102986,309845,55086,166159,81627,237247,3991,30798,62896,26663,135452,706091,754534,85542,37098
2011/8/2,817915,106890,313555,51230,175360,86328,259002,5349,30011,60750,25153,145831,740041,781586,77874,36329
2011/8/9,906419,121993,324856,51322,152196,117313,227174,8600,43958,63167,22559,194795,819723,864277,86696,42142
2011/8/16,952078,130092,336217,44820,145200,128319,228713,10310,52874,60677,21166,221415,866911,915501,85166,36576
2011/8/23,1034978,148932,355154,47744,131161,148594,213109,11815,58926,66401,19727,265709,949416,991087,85562,43891
