date,open,high,low,close,vol,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,VOL-TDX.VVOL  ,VOL-TDX.      ,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1991/02/26,133.9,134.44,133.9,133.93,1094,134.23,133.1,131.52,           ,           ,0,1094,1885.4,2904.2,1.8,1.84,-0.08
 1991/02/27,133.44,133.98,133.44,133.47,214,134.19,133.36,131.62,           ,           ,0,214,1753,1993.9,1.71,1.82,-0.22
 1991/02/28,132.99,133.52,132.98,133.01,2258,133.94,133.52,131.72,           ,           ,0,2258,1560.6,1842.3,1.58,1.77,-0.38
 1991/03/01,132.53,132.53,132.47,132.53,7124,133.47,133.58,131.82,           ,           ,0,7124,2300,2439.5,1.42,1.7,-0.56
 1991/03/04,132.09,132.09,131.98,131.99,2518,132.99,133.53,131.93,           ,           ,0,2518,2641.6,2328.9,1.24,1.61,-0.74
 1991/03/05,131.42,131.99,131.41,131.46,982,132.49,133.36,132.02,           ,           ,0,982,2619.2,2252.3,1.04,1.49,-0.91
 1991/03/06,130.89,130.95,130.89,130.94,719,131.99,133.09,132.12,           ,           ,0,719,2720.2,2236.6,0.83,1.36,-1.07
 1991/03/07,130.41,130.94,130.41,130.41,568,131.47,132.7,132.21,           ,           ,0,568,2382.2,1971.4,0.61,1.21,-1.2
 1991/03/08,129.84,130.41,129.84,129.89,933,130.94,132.2,132.25,           ,           ,0,933,1144,1722,0.39,1.04,-1.31
 1991/03/11,129.3,129.89,129.3,129.31,514,130.4,131.69,132.22,           ,           ,0,514,743.2,1692.4,0.17,0.87,-1.4
 1991/03/12,128.73,129.31,128.73,128.77,957,129.86,131.18,132.14,           ,           ,0,957,738.2,1678.7,-0.05,0.69,-1.47
 1991/03/13,126.13,128.77,126.13,126.15,498,128.91,130.45,131.9,           ,           ,0,498,694,1707.1,-0.43,0.46,-1.78
 1991/03/14,125.61,126.15,125.61,125.63,326,127.95,129.71,131.61,           ,           ,0,326,645.6,1513.9,-0.76,0.22,-1.96
 1991/03/15,125.08,125.62,125.08,125.17,790,127.01,128.97,131.28,129.45,           ,0,790,617,880.5,-1.05,-0.04,-2.03
 1991/03/18,124.7,125.17,124.69,124.71,1250,126.09,128.24,130.89,129.86,           ,0,1250,764.2,753.7,-1.3,-0.29,-2.03
 1991/03/19,124.23,124.71,124.22,124.22,892,125.18,127.52,130.44,130.19,           ,0,892,751.2,744.7,-1.52,-0.54,-1.98
 1991/03/20,123.66,124.21,123.63,123.66,678,124.68,126.79,129.94,130.43,           ,0,678,787.2,740.6,-1.73,-0.77,-1.9
 1991/03/21,123.14,123.66,123.12,123.12,151,124.18,126.06,129.38,130.58,           ,0,151,752.2,698.9,-1.91,-1,-1.81
 1991/03/22,122.62,123.12,122.62,122.62,207,123.67,125.34,128.77,130.62,           ,0,207,635.6,626.3,-2.07,-1.21,-1.7
 1991/03/25,122.12,122.62,122.1,122.12,443,123.15,124.62,128.16,130.56,           ,0,443,474.2,619.2,-2.21,-1.41,-1.59
 1991/03/26,121.62,122.14,121.62,121.62,1164,122.63,123.9,127.54,130.5,           ,0,1164,528.6,639.9,-2.33,-1.6,-1.47
 1991/03/27,121.12,121.64,121.12,121.12,668,122.12,123.4,126.92,130.41,           ,0,668,526.6,656.9,-2.44,-1.77,-1.36
 1991/03/28,120.65,121.15,120.61,120.61,961,121.62,122.9,126.3,130.3,           ,0,961,688.6,720.4,-2.55,-1.92,-1.25
 1991/03/29,120.16,120.61,120.11,120.19,2185,121.13,122.4,125.69,130.15,           ,0,2185,1084.2,859.9,-2.63,-2.06,-1.13
 1991/04/01,120.69,120.73,119.68,120.73,11999,120.85,122,125.12,130,           ,0,11999,3395.4,1934.8,-2.62,-2.17,-0.89
 1991/04/02,121.21,121.29,120.73,121.21,816,120.77,121.7,124.61,129.83,           ,0,816,3325.8,1927.2,-2.55,-2.25,-0.59
 1991/04/03,121.71,121.71,121.21,121.71,2063,120.89,121.5,124.15,129.65,           ,0,2063,3604.8,2065.7,-2.42,-2.28,-0.27
 1991/04/04,122.2,122.2,121.24,121.72,10517,121.11,121.37,123.71,129.47,           ,0,10517,5516,3102.3,-2.29,-2.28,-0.01
 1991/04/05,121.07,121.73,121.03,121.54,11589,121.38,121.26,123.3,129.27,           ,0,11589,7396.8,4240.5,-2.18,-2.26,0.17
 1991/04/08,121.11,121.11,121.05,121.09,1862,121.45,121.15,122.89,129.06,           ,0,1862,5369.4,4382.4,-2.1,-2.23,0.26
 1991/04/09,120.6,121.1,120.6,120.62,320,121.34,121.05,122.48,128.83,           ,0,320,5270.2,4298,-2.06,-2.2,0.28
 1991/04/10,120.15,120.62,120.09,120.16,466,121.03,120.96,122.18,128.58,           ,0,466,4950.8,4277.8,-2.03,-2.16,0.26
 1991/04/11,119.64,120.16,119.62,119.64,239,120.61,120.86,121.88,128.33,           ,0,239,2895.2,4205.6,-2.03,-2.14,0.21
 1991/04/12,119.2,119.65,119.15,119.21,399,120.14,120.76,121.58,128.08,           ,0,399,657.2,4027,-2.04,-2.12,0.15
 1991/04/15,118.73,119.22,118.72,118.77,301,119.68,120.57,121.28,127.82,           ,0,301,345,2857.2,-2.06,-2.11,0.09
 1991/04/16,118.36,118.77,118.34,118.34,105,119.22,120.28,120.99,127.56,           ,0,105,302,2786.1,-2.09,-2.1,0.03
 1991/04/17,117.92,118.34,117.89,117.9,201,118.77,119.9,120.7,127.29,           ,0,201,249,2599.9,-2.12,-2.11,-0.03
 1991/04/18,117.45,117.93,117.45,117.45,178,118.33,119.47,120.42,127.02,           ,0,178,236.8,1566,-2.16,-2.12,-0.08
 1991/04/19,117.08,117.5,117.05,117.08,646,117.91,119.03,120.14,126.75,           ,0,646,286.2,471.7,-2.19,-2.13,-0.12
 1991/04/22,116.63,117.08,116.58,116.63,430,117.48,118.58,119.87,126.48,           ,0,430,312,328.5,-2.23,-2.15,-0.16
 1991/04/23,116.21,116.63,116.15,116.19,282,117.05,118.14,119.6,126.22,           ,0,282,347.4,324.7,-2.27,-2.18,-0.19
 1991/04/24,115.7,116.19,115.7,115.79,148,116.63,117.7,119.33,125.96,           ,0,148,336.8,292.9,-2.31,-2.2,-0.21
 1991/04/25,115.38,115.79,115.33,115.36,1495,116.21,117.27,119.07,125.7,           ,0,1495,600.2,418.5,-2.34,-2.23,-0.23
 1991/04/26,116.31,116.31,114.52,115.56,13354,115.91,116.91,118.84,125.45,           ,0,13354,3141.8,1714,-2.33,-2.25,-0.16
 1991/04/29,114.86,116.29,114.75,114.75,8411,115.53,116.51,118.54,125.19,           ,0,8411,4738,2525,-2.36,-2.27,-0.17
 1991/04/30,113.89,114.87,113.89,113.94,4850,115.08,116.06,118.17,124.93,           ,0,4850,5651.6,2999.5,-2.42,-2.3,-0.23
 1991/05/02,113.04,113.2,113.03,113.16,1465,114.55,115.59,117.75,124.67,           ,0,1465,5915,3125.9,-2.5,-2.34,-0.31
 1991/05/03,112.46,113.17,112.3,112.41,4230,113.96,115.09,117.28,124.4,           ,0,4230,6462,3531.1,-2.59,-2.39,-0.4
 1991/05/06,111.65,112.41,111.57,111.61,2764,113.17,114.54,116.78,124.11,           ,0,2764,4344,3742.9,-2.7,-2.45,-0.5
 1991/05/07,110.8,110.9,110.8,110.82,1875,112.39,113.96,116.27,123.79,           ,0,1875,3036.8,3887.4,-2.82,-2.53,-0.58
 1991/05/08,110.16,110.82,110,110.03,423,111.61,113.34,115.74,123.45,           ,0,423,2151.4,3901.5,-2.94,-2.61,-0.66
 1991/05/09,109.36,110.12,109.31,109.29,2255,110.83,112.69,115.2,123.09,           ,0,2255,2309.4,4112.2,-3.06,-2.7,-0.73
 1991/05/10,108.61,109.4,108.53,108.53,249,110.06,112.01,114.64,122.71,           ,0,249,1513.2,3987.6,-3.18,-2.8,-0.77
 1991/05/13,107.88,107.88,107.74,107.84,235,109.3,111.24,114.07,122.31,           ,0,235,1007.4,2675.7,-3.3,-2.9,-0.8
 1991/05/14,107.21,107.84,107.06,107.19,267,108.58,110.48,113.49,121.89,           ,0,267,685.8,1861.3,-3.4,-3,-0.81
 1991/05/15,106.56,106.6,106.42,106.57,390,107.88,109.75,112.9,121.45,           ,0,390,679.2,1415.3,-3.49,-3.1,-0.79
 1991/05/16,105.83,105.86,105.69,105.77,3108,107.18,109.01,112.3,120.98,           ,0,3108,849.8,1579.6,-3.59,-3.19,-0.79
 1991/05/17,105.12,106.75,104.96,106.75,20192,106.82,108.44,111.76,120.52,           ,0,20192,4838.4,3175.8,-3.54,-3.26,-0.56
 1991/05/20,107.76,107.82,106.71,107.82,863,106.82,108.06,111.3,120.07,           ,0,863,4964,2985.7,-3.38,-3.29,-0.19
 1991/05/21,108.89,108.89,108.62,108.81,771,107.14,107.86,110.91,119.64,           ,0,771,5064.8,2875.3,-3.14,-3.26,0.24
 1991/05/22,109.71,109.82,108.11,108.25,18677,107.48,107.68,110.51,119.22,           ,0,18677,8722.2,4700.7,-2.96,-3.2,0.48
 1991/05/23,107.52,109.16,107.35,109.08,5609,108.14,107.66,110.18,118.81,           ,0,5609,9222.4,5036.1,-2.72,-3.1,0.77
 1991/05/24,110.07,110.08,109.82,110.08,1024,108.81,107.82,109.91,118.43,           ,0,1024,5388.8,5113.6,-2.42,-2.97,1.1
 1991/05/27,111.05,111.07,109.47,110.66,8619,109.38,108.1,109.67,118.06,           ,0,8619,6940,5952,-2.11,-2.79,1.37
 1991/05/28,111.61,111.68,111.36,111.68,1630,109.95,108.55,109.51,117.72,           ,0,1630,7111.8,6088.3,-1.76,-2.59,1.65
 1991/05/29,112.75,112.75,111.67,112.75,530,110.85,109.17,109.46,117.41,           ,0,530,3482.4,6102.3,-1.38,-2.35,1.93
 1991/05/30,113.74,113.82,112.77,113.82,388,111.8,109.97,109.49,117.13,           ,0,388,2438.2,5830.3,-0.98,-2.07,2.18
 1991/05/31,114.83,114.83,113.84,114.83,1211,112.75,110.78,109.61,116.87,           ,0,1211,2475.6,3932.2,-0.58,-1.78,2.39
 1991/06/03,115.9,115.97,114.89,115.97,954,113.81,111.59,109.83,116.64,           ,0,954,942.6,3941.3,-0.17,-1.45,2.57
 1991/06/04,117.12,117.12,116.83,117.12,3603,114.9,112.42,110.14,116.43,           ,0,3603,1337.2,4224.5,0.25,-1.11,2.72
 1991/06/05,118.17,118.17,117.14,118.17,308,115.98,113.42,110.55,116.26,           ,0,308,1292.8,2387.6,0.66,-0.76,2.83
 1991/06/06,119.26,119.33,118.17,119.35,266,117.09,114.44,111.05,116.14,           ,0,266,1268.4,1853.3,1.06,-0.39,2.92
 1991/06/07,120.46,120.47,119.35,120.47,100,118.22,115.48,111.65,116.06,           ,0,100,1046.2,1760.9,1.46,-0.02,2.97
 1991/06/10,121.65,121.67,120.47,121.67,400,119.36,116.58,112.34,116,           ,0,400,935.4,939,1.85,0.35,2.99
 1991/06/11,122.89,122.89,121.67,122.89,543,120.51,117.7,113.13,115.97,           ,0,543,323.4,830.3,2.23,0.73,3.01
 1991/06/12,123.9,124.11,122.89,124.11,1372,121.7,118.84,114,115.97,           ,0,1372,536.2,914.5,2.6,1.1,3
 1991/06/13,125.33,125.34,123.65,125.34,20868,122.9,119.99,114.98,115.99,           ,0,20868,4656.6,2962.5,2.96,1.47,2.97
 1991/06/14,124.47,126.34,124.47,124.53,6633,123.71,120.96,115.87,116.02,           ,0,6633,5963.2,3504.7,3.14,1.81,2.67
 1991/06/17,125.63,125.77,123.54,125.77,6933,124.53,121.94,116.77,116.07,           ,0,6933,7269.8,4102.6,3.35,2.11,2.47
 1991/06/18,127.03,127.03,126.67,127.03,2030,125.36,122.93,117.68,116.15,           ,0,2030,7567.2,3945.3,3.57,2.41,2.33
 1991/06/19,128.12,128.29,127.03,128.29,1481,126.19,123.95,118.68,116.26,           ,0,1481,7589,4062.6,3.81,2.69,2.24
 1991/06/20,129.55,129.57,129.21,129.57,2299,127.04,124.97,119.7,116.4,           ,0,2299,3875.2,4265.9,4.05,2.96,2.18
 1991/06/21,130.72,130.86,128.81,130.86,13613,128.3,126.01,120.74,116.57,           ,0,13613,5271.2,5617.2,4.3,3.23,2.14
 1991/06/24,132.1,132.17,131.8,132.17,1960,129.58,127.06,121.82,116.77,           ,0,1960,4276.6,5773.2,4.55,3.49,2.11
 1991/06/25,133.48,133.49,132.17,133.49,1624,130.88,128.12,122.91,116.99,           ,0,1624,4195.4,5881.3,4.79,3.75,2.09
 1991/06/26,134.83,134.83,133.49,134.83,3409,132.18,129.19,124.01,117.21,           ,0,3409,4581,6085,5.04,4.01,2.07
 1991/06/27,136.04,136.19,134.83,136.19,4497,133.51,130.27,125.13,117.46,           ,0,4497,5020.6,4447.9,5.29,4.26,2.04
 1991/06/28,137.41,137.56,136.19,137.56,4935,134.85,131.58,126.27,117.72,           ,0,4935,3285,4278.1,5.53,4.52,2.02
 1991/07/01,136.64,138.62,136.56,136.85,22940,135.78,132.68,127.31,117.97,           ,0,22940,7481,5878.8,5.6,4.73,1.73
 1991/07/02,135.91,135.96,135.69,135.96,2838,136.28,133.58,128.25,118.22,           ,0,2838,7723.8,5959.6,5.52,4.89,1.25
 1991/07/03,135.28,135.96,134.98,135.27,2715,136.37,134.28,129.11,118.47,           ,0,2715,7585,6083,5.33,4.98,0.71
 1991/07/04,136.63,136.63,134.19,136.63,13394,136.45,134.98,129.97,118.74,           ,0,13394,9364.4,7192.5,5.24,5.03,0.42
 1991/07/05,136.01,137.68,135.9,135.96,14540,136.13,135.49,130.75,119.01,           ,0,14540,11285.4,7285.2,5.05,5.04,0.04
 1991/07/08,135.26,135.28,134.93,135.28,5874,135.82,135.8,131.43,119.28,           ,0,5874,7872.2,7676.6,4.79,4.99,-0.38
 1991/07/09,136.56,136.57,134.31,134.64,8442,135.56,135.92,132.02,119.55,           ,0,8442,8993,8358.4,4.49,4.89,-0.8
 1991/07/10,134.4,135.6,133.72,133.99,6023,135.3,135.83,132.51,119.81,           ,0,6023,9654.6,8619.8,4.14,4.74,-1.19
 1991/07/11,133.22,133.99,133.13,133.38,5073,134.65,135.55,132.91,120.06,           ,0,5073,7990.4,8677.4,3.78,4.55,-1.54
 1991/07/12,132.8,133.38,132.42,132.8,3144,134.02,135.08,133.33,120.32,           ,0,3144,5711.2,8498.3,3.4,4.32,-1.83
 1991/07/15,133.9,134.1,131.87,133.14,11938,133.59,134.7,133.69,120.59,           ,0,11938,6924,7398.1,3.09,4.07,-1.96
 1991/07/16,134.39,134.47,133.14,134.47,2796,133.56,134.56,134.07,120.88,           ,0,2796,5794.8,7393.9,2.93,3.84,-1.83
 1991/07/17,135.81,135.81,135.39,135.81,660,133.92,134.61,134.44,121.21,           ,0,660,4722.2,7188.4,2.87,3.65,-1.56
 1991/07/18,137.17,137.17,135.81,137.17,847,134.68,134.66,134.82,121.57,           ,0,847,3877,5933.7,2.9,3.5,-1.2
 1991/07/19,137.66,138.54,136.66,136.7,10823,135.46,134.74,135.11,121.92,           ,0,10823,5412.8,5562,2.85,3.37,-1.04
 1991/07/22,138.07,138.07,136.7,138.07,2764,136.44,135.02,135.41,122.3,           ,0,2764,3578,5251,2.89,3.27,-0.77
 1991/07/23,139.35,139.39,138.07,139.39,7241,137.43,135.49,135.7,122.71,           ,0,7241,4467,5130.9,2.99,3.22,-0.45
 1991/07/24,140.66,140.74,138.69,140.68,5988,138.4,136.16,136,123.16,           ,0,5988,5532.6,5127.4,3.14,3.2,-0.12
 1991/07/25,140.2,141.01,139.99,140.19,8390,139.01,136.84,136.2,123.61,           ,0,8390,7041.2,5459.1,3.19,3.2,-0.03
 1991/07/26,140.11,141.46,139.27,140.66,9279,139.8,137.63,136.35,124.08,           ,0,9279,6732.4,6072.6,3.22,3.2,0.03
 1991/07/29,141.22,141.72,140.81,141.52,4771,140.49,138.47,136.59,124.58,           ,0,4771,7133.8,5355.9,3.28,3.22,0.12
 1991/07/30,142.39,142.45,141.39,142.39,5601,141.09,139.26,136.91,125.1,           ,0,5601,6805.8,5636.4,3.36,3.25,0.22
 1991/07/31,143.72,143.8,142.39,143.8,4051,141.71,140.06,137.33,125.66,           ,0,4051,6418.4,5975.5,3.49,3.3,0.4
 1991/08/01,145.12,145.24,143.8,145.24,4731,142.72,140.86,137.76,126.26,           ,0,4731,5686.6,6363.9,3.67,3.37,0.61
 1991/08/02,146.49,146.68,145.44,146.68,11744,143.93,141.86,138.3,126.9,           ,0,11744,6179.6,6456,3.89,3.47,0.83
 1991/08/05,148.06,148.15,146.68,148.15,5126,145.25,142.87,138.94,127.57,           ,0,5126,6250.6,6692.2,4.13,3.61,1.05
 1991/08/06,149.62,149.62,148.15,149.62,2001,146.7,143.89,139.69,128.28,           ,0,2001,5530.6,6168.2,4.39,3.76,1.25
 1991/08/07,150.93,151.12,149.62,151.12,1107,148.16,144.94,140.55,129.02,           ,0,1107,4941.8,5680.1,4.66,3.94,1.44
 1991/08/08,152.57,152.61,151.12,152.61,1951,149.64,146.18,141.51,129.8,           ,0,1951,4385.8,5036.2,4.94,4.14,1.6
 1991/08/09,153.9,154.1,152.61,154.1,3715,151.12,147.52,142.58,130.59,           ,0,3715,2780,4479.8,5.22,4.36,1.73
 1991/08/12,155.34,155.54,154.1,155.54,3919,152.6,148.93,143.7,131.39,           ,0,3919,2538.6,4394.6,5.5,4.59,1.83
 1991/08/13,156.87,157.07,155.54,157.07,20039,154.09,150.39,144.83,132.19,           ,0,20039,6146.2,5838.4,5.77,4.82,1.9
 1991/08/14,158.3,158.63,158.11,158.63,5480,155.59,151.88,145.97,133.03,           ,0,5480,7020.8,5981.3,6.05,5.07,1.96
 1991/08/15,159.92,160.21,158.63,160.21,1537,157.11,153.37,147.12,133.88,           ,0,1537,6938,5661.9,6.32,5.32,2
 1991/08/16,161.56,161.6,160.21,161.6,984,158.61,154.87,148.36,134.74,           ,0,984,6391.8,4585.9,6.57,5.57,2.01
 1991/08/19,163.21,163.21,161.6,163.21,985,160.14,156.37,149.62,135.62,           ,0,985,5805,4171.8,6.82,5.82,2.01
 1991/08/20,164.74,164.84,163.21,164.84,573,161.7,157.89,150.89,136.5,           ,0,573,1911.8,4029,7.07,6.07,2
 1991/08/21,166.49,166.49,164.84,166.49,3411,163.27,159.43,152.18,137.4,           ,0,3411,1498,4259.4,7.32,6.32,2
 1991/08/22,167.81,168.16,166.49,168.16,1296,164.86,160.98,153.58,138.3,           ,0,1296,1449.8,4193.9,7.56,6.57,1.99
 1991/08/23,169.81,169.81,168.16,169.81,605,166.5,162.56,155.04,139.22,           ,0,605,1374,3882.9,7.8,6.82,1.97
 1991/08/26,171.51,171.51,169.81,171.51,643,168.16,164.15,156.54,140.15,           ,0,643,1305.6,3555.3,8.03,7.06,1.94
 1991/08/27,173.06,173.19,171.51,173.19,796,169.83,165.77,158.08,141.08,           ,0,796,1350.2,1631,8.25,7.3,1.91
 1991/08/28,174.82,174.92,173.19,174.92,804,171.52,167.39,159.63,142.03,           ,0,804,828.8,1163.4,8.47,7.53,1.88
 1991/08/29,176.53,176.66,174.92,176.66,2608,173.22,169.04,161.21,142.98,           ,0,2608,1091.2,1270.5,8.69,7.76,1.85
 1991/08/30,178.2,178.43,176.66,178.43,6759,174.94,170.72,162.79,143.95,           ,0,6759,2322,1848,8.9,7.99,1.81
 1991/09/02,180.08,180.22,178.43,180.22,1408,176.68,172.42,164.4,144.92,           ,0,1408,2475,1890.3,9.1,8.21,1.78
 1991/09/03,181.71,181.97,180.22,181.97,1475,178.44,174.14,166.01,145.91,           ,0,1475,2610.8,1980.5,9.3,8.43,1.74
 1991/09/04,183.66,183.69,181.97,183.69,650,180.19,175.86,167.64,146.9,           ,0,650,2580,1704.4,9.48,8.64,1.69
 1991/09/05,185.48,185.51,183.69,185.51,1514,181.96,177.59,169.29,147.9,           ,0,1514,2361.2,1726.2,9.67,8.85,1.64
 1991/09/06,187.09,187.36,185.51,187.36,2765,183.75,179.35,170.95,148.95,           ,0,2765,1562.4,1942.2,9.85,9.05,1.6
 1991/09/09,189.1,189.24,187.36,189.24,3552,185.55,181.12,172.64,150.01,           ,0,3552,1991.2,2233.1,10.03,9.24,1.57
 1991/09/10,190.98,190.98,188.19,188.33,33434,186.83,182.63,174.2,151.03,           ,0,33434,8383,5496.9,9.98,9.39,1.18
 1991/09/11,187.29,187.29,186.86,187.22,21392,187.53,183.86,175.63,152.01,           ,0,21392,12531.4,7555.7,9.74,9.46,0.56
 1991/09/12,186.22,187.4,186.07,186.22,19699,187.67,184.82,176.93,152.96,           ,0,19699,16168.4,9264.8,9.36,9.44,-0.15
 1991/09/13,188,188.04,185.01,187.79,37434,187.76,185.76,178.24,153.91,           ,0,37434,23102.2,12332.3,9.09,9.37,-0.57
 1991/09/16,189.55,189.66,187.79,189.66,9933,187.84,186.7,179.56,154.86,           ,0,9933,24378.4,13184.8,8.91,9.28,-0.73
 1991/09/17,191.16,191.18,188.28,188.65,28829,187.91,187.37,180.75,155.78,           ,0,28829,23457.4,15920.2,8.6,9.14,-1.09
