date,open_5,close_5,high_5,low_5,volume_5,money_5,open_10,close_10,high_10,low_10,volume_10,money_10,diff_5,diff_10
2016-02-01 09:30:00,100.53,100.53,100.53,100.53,100.0,1005250.0,99.98,99.99,99.99,99.98,2400.0,23996750.0,,
2016-02-01 09:31:00,100.53,100.52,100.53,100.52,400.0,4020850.0,99.98,99.97,99.98,99.97,1200.0,11997450.0,-0.01,-0.01
2016-02-01 09:32:00,100.52,100.52,100.52,100.52,0.0,0.0,99.96,99.96,99.96,99.96,300.0,2998900.0,-0.01,-0.02
2016-02-01 09:33:00,100.51,100.52,100.52,100.51,200.0,2010200.0,99.97,99.97,99.98,99.97,2400.0,23992950.0,-0.01,-0.01
2016-02-01 09:34:00,100.52,100.52,100.52,100.52,1000.0,10051950.0,99.97,99.98,99.98,99.97,1300.0,12996250.0,-0.01,0.0
2016-02-01 09:35:00,100.52,100.52,100.52,100.52,0.0,0.0,99.96,99.97,99.97,99.96,800.0,7996700.0,-0.01,-0.01
2016-02-01 09:36:00,100.52,100.52,100.52,100.52,0.0,0.0,99.96,99.97,99.97,99.96,700.0,6997450.0,-0.01,-0.01
2016-02-01 09:37:00,100.53,100.53,100.53,100.53,200.0,2010500.0,99.97,99.97,99.97,99.97,2100.0,20993700.0,0.0,-0.01
2016-02-01 09:38:00,100.52,100.52,100.52,100.52,400.0,4020750.0,99.97,99.96,99.97,99.96,2500.0,24991000.0,-0.01,-0.02
2016-02-01 09:39:00,100.52,100.52,100.52,100.52,300.0,3015600.0,99.96,99.97,99.97,99.96,200.0,1999250.0,-0.01,-0.01
2016-02-01 09:40:00,100.52,100.52,100.52,100.52,0.0,0.0,99.96,99.96,99.96,99.96,400.0,3998400.0,-0.01,-0.02
2016-02-01 09:41:00,100.52,100.51,100.52,100.51,800.0,8041200.0,99.95,99.95,99.95,99.95,2100.0,20989500.0,-0.02,-0.03
2016-02-01 09:42:00,100.51,100.5,100.51,100.5,800.0,8040100.0,99.95,99.93,99.95,99.93,3900.0,38976100.0,-0.03,-0.05
2016-02-01 09:43:00,100.5,100.5,100.5,100.5,1600.0,16079700.0,99.93,99.94,99.94,99.93,6400.0,63957600.0,-0.03,-0.04
2016-02-01 09:44:00,100.5,100.5,100.5,100.5,1000.0,10049750.0,99.93,99.92,99.93,99.92,4800.0,47962350.0,-0.03,-0.06
2016-02-01 09:45:00,100.49,100.49,100.49,100.49,1100.0,11053900.0,99.92,99.9,99.92,99.9,2500.0,24976050.0,-0.04,-0.08
2016-02-01 09:46:00,100.48,100.5,100.5,100.48,1600.0,16077950.0,99.9,99.91,99.91,99.9,2400.0,23975650.0,-0.03,-0.07
2016-02-01 09:47:00,100.5,100.5,100.5,100.5,800.0,8039750.0,99.91,99.93,99.93,99.91,1500.0,14988950.0,-0.03,-0.05
2016-02-01 09:48:00,100.5,100.51,100.51,100.5,4000.0,40200350.0,99.92,99.92,99.92,99.92,700.0,6994050.0,-0.02,-0.06
2016-02-01 09:49:00,100.5,100.5,100.5,100.5,700.0,7035000.0,99.92,99.92,99.92,99.91,1100.0,10990650.0,-0.03,-0.06
2016-02-01 09:50:00,100.5,100.5,100.5,100.5,100.0,1004950.0,99.92,99.91,99.92,99.91,2100.0,20982000.0,-0.03,-0.07
2016-02-01 09:51:00,100.5,100.5,100.5,100.5,900.0,9044550.0,99.91,99.92,99.92,99.91,2200.0,21980700.0,-0.03,-0.06
2016-02-01 09:52:00,100.5,100.5,100.5,100.5,0.0,0.0,99.92,99.92,99.92,99.92,1800.0,17984900.0,-0.03,-0.06
2016-02-01 09:53:00,100.5,100.5,100.5,100.5,900.0,9044550.0,99.9,99.9,99.91,99.9,1400.0,13986200.0,-0.03,-0.08
2016-02-01 09:54:00,100.5,100.5,100.5,100.5,500.0,5024750.0,99.9,99.9,99.9,99.9,1400.0,13985850.0,-0.03,-0.08
2016-02-01 09:55:00,100.49,100.5,100.5,100.49,800.0,8039550.0,99.89,99.89,99.9,99.89,4700.0,46949200.0,-0.03,-0.09
2016-02-01 09:56:00,100.5,100.5,100.5,100.5,100.0,1004950.0,99.89,99.89,99.89,99.89,1000.0,9988950.0,-0.03,-0.09
2016-02-01 09:57:00,100.49,100.49,100.49,100.49,400.0,4019600.0,99.89,99.88,99.89,99.88,700.0,6991800.0,-0.04,-0.1
2016-02-01 09:58:00,100.5,100.49,100.5,100.49,300.0,3014750.0,99.88,99.88,99.88,99.88,100.0,998800.0,-0.04,-0.1
2016-02-01 09:59:00,100.48,100.46,100.48,100.45,13100.0,131596350.0,99.88,99.87,99.88,99.87,2500.0,24968600.0,-0.07,-0.11
2016-02-01 10:00:00,100.46,100.46,100.47,100.46,900.0,9041200.0,99.87,99.88,99.89,99.87,1100.0,10986200.0,-0.07,-0.1
2016-02-01 10:01:00,100.47,100.47,100.47,100.47,900.0,9042200.0,99.89,99.89,99.89,99.89,100.0,998900.0,-0.06,-0.09
2016-02-01 10:02:00,100.47,100.48,100.48,100.47,1600.0,16076150.0,99.89,99.9,99.9,99.89,2900.0,28969450.0,-0.05,-0.08
2016-02-01 10:03:00,100.48,100.48,100.48,100.48,300.0,3014400.0,99.9,99.9,99.9,99.9,700.0,6993000.0,-0.05,-0.08
2016-02-01 10:04:00,100.48,100.48,100.48,100.48,0.0,0.0,99.89,99.89,99.89,99.89,100.0,998900.0,-0.05,-0.09
2016-02-01 10:05:00,100.48,100.48,100.48,100.48,900.0,9042850.0,99.89,99.9,99.91,99.89,2900.0,28970100.0,-0.05,-0.08
2016-02-01 10:06:00,100.48,100.47,100.48,100.47,700.0,7033000.0,99.9,99.88,99.9,99.88,1200.0,11986250.0,-0.06,-0.1
2016-02-01 10:07:00,100.47,100.47,100.47,100.47,0.0,0.0,99.88,99.87,99.88,99.86,2300.0,22971350.0,-0.06,-0.11
2016-02-01 10:08:00,100.47,100.47,100.47,100.47,600.0,6027900.0,99.87,99.86,99.87,99.86,400.0,3994500.0,-0.06,-0.12
2016-02-01 10:09:00,100.46,100.45,100.46,100.45,1000.0,10045900.0,99.86,99.84,99.86,99.84,5900.0,58910900.0,-0.08,-0.14
2016-02-01 10:10:00,100.45,100.45,100.45,100.43,2800.0,28123750.0,99.84,99.86,99.86,99.83,3700.0,36940050.0,-0.08,-0.12
2016-02-01 10:11:00,100.45,100.45,100.45,100.45,100.0,1004500.0,99.86,99.86,99.86,99.86,300.0,2995700.0,-0.08,-0.12
2016-02-01 10:12:00,100.45,100.46,100.46,100.45,700.0,7031800.0,99.86,99.86,99.86,99.86,1000.0,9985900.0,-0.07,-0.12
2016-02-01 10:13:00,100.47,100.47,100.47,100.47,400.0,4018650.0,99.87,99.86,99.87,99.86,1800.0,17976200.0,-0.06,-0.12
2016-02-01 10:14:00,100.47,100.47,100.47,100.47,0.0,0.0,99.85,99.85,99.85,99.85,200.0,1997000.0,-0.06,-0.13
2016-02-01 10:15:00,100.46,100.45,100.46,100.45,500.0,5022650.0,99.84,99.84,99.84,99.83,600.0,5990000.0,-0.08,-0.14
2016-02-01 10:16:00,100.45,100.45,100.45,100.45,800.0,8036000.0,99.84,99.84,99.84,99.83,1600.0,15973500.0,-0.08,-0.14
2016-02-01 10:17:00,100.45,100.45,100.45,100.45,0.0,0.0,99.84,99.84,99.84,99.84,0.0,0.0,-0.08,-0.14
2016-02-01 10:18:00,100.46,100.46,100.46,100.46,300.0,3013650.0,99.84,99.84,99.84,99.84,400.0,3993400.0,-0.07,-0.14
2016-02-01 10:19:00,100.46,100.47,100.47,100.46,1200.0,12056200.0,99.85,99.86,99.86,99.85,3100.0,30954350.0,-0.06,-0.12
2016-02-01 10:20:00,100.48,100.49,100.49,100.48,1300.0,13062500.0,99.87,99.87,99.88,99.86,1900.0,18974200.0,-0.04,-0.11
2016-02-01 10:21:00,100.49,100.5,100.5,100.48,1300.0,13063200.0,99.87,99.87,99.89,99.86,5300.0,52933900.0,-0.03,-0.11
2016-02-01 10:22:00,100.48,100.49,100.49,100.48,400.0,4019300.0,99.87,99.87,99.9,99.86,2500.0,24968150.0,-0.04,-0.11
2016-02-01 10:23:00,100.49,100.49,100.49,100.49,2000.0,20097500.0,99.87,99.88,99.89,99.87,4100.0,40948800.0,-0.04,-0.1
2016-02-01 10:24:00,100.49,100.5,100.5,100.49,1000.0,10049700.0,99.88,99.89,99.89,99.88,3700.0,36958100.0,-0.03,-0.09
2016-02-01 10:25:00,100.5,100.5,100.5,100.5,1800.0,18090000.0,99.89,99.89,99.9,99.89,1600.0,15983550.0,-0.03,-0.09
2016-02-01 10:26:00,100.5,100.5,100.5,100.5,100.0,1004950.0,99.9,99.91,99.91,99.9,2400.0,23976200.0,-0.03,-0.07
2016-02-01 10:27:00,100.51,100.51,100.51,100.51,1300.0,13065700.0,99.91,99.9,99.91,99.9,1200.0,11988900.0,-0.02,-0.08
2016-02-01 10:28:00,100.49,100.49,100.49,100.49,300.0,3014650.0,99.89,99.89,99.9,99.89,2200.0,21975900.0,-0.04,-0.09
2016-02-01 10:29:00,100.49,100.49,100.49,100.49,200.0,2009700.0,99.89,99.89,99.89,99.89,300.0,2996550.0,-0.04,-0.09
2016-02-01 10:30:00,100.49,100.49,100.49,100.49,0.0,0.0,99.89,99.89,99.89,99.89,1700.0,16980450.0,-0.04,-0.09
2016-02-01 10:31:00,100.49,100.49,100.49,100.49,100.0,1004850.0,99.89,99.88,99.89,99.88,1200.0,11986000.0,-0.04,-0.1
2016-02-01 10:32:00,100.49,100.49,100.49,100.49,0.0,0.0,99.89,99.89,99.89,99.88,1600.0,15981450.0,-0.04,-0.09
2016-02-01 10:33:00,100.5,100.49,100.5,100.49,1700.0,17084300.0,99.88,99.87,99.88,99.87,3100.0,30960600.0,-0.04,-0.11
2016-02-01 10:34:00,100.49,100.49,100.49,100.49,800.0,8039050.0,99.87,99.87,99.89,99.87,1800.0,17977400.0,-0.04,-0.11
2016-02-01 10:35:00,100.49,100.49,100.49,100.49,600.0,6029400.0,99.87,99.87,99.87,99.87,600.0,5992200.0,-0.04,-0.11
2016-02-01 10:36:00,100.49,100.51,100.51,100.49,1800.0,18090300.0,99.87,99.89,99.9,99.87,1900.0,18978400.0,-0.02,-0.09
2016-02-01 10:37:00,100.51,100.51,100.51,100.5,1700.0,17085550.0,99.89,99.89,99.9,99.88,4600.0,45947700.0,-0.02,-0.09
2016-02-01 10:38:00,100.51,100.51,100.51,100.51,0.0,0.0,99.88,99.88,99.88,99.88,1100.0,10986800.0,-0.02,-0.1
2016-02-01 10:39:00,100.49,100.51,100.51,100.49,500.0,5024650.0,99.88,99.88,99.88,99.88,800.0,7990300.0,-0.02,-0.1
2016-02-01 10:40:00,100.51,100.51,100.51,100.51,0.0,0.0,99.89,99.89,99.89,99.89,1000.0,9989000.0,-0.02,-0.09
2016-02-01 10:41:00,100.51,100.51,100.51,100.51,0.0,0.0,99.89,99.88,99.89,99.88,300.0,2996600.0,-0.02,-0.1
2016-02-01 10:42:00,100.5,100.5,100.5,100.5,200.0,2009900.0,99.88,99.88,99.88,99.88,1000.0,9987500.0,-0.03,-0.1
2016-02-01 10:43:00,100.49,100.49,100.49,100.49,100.0,1004900.0,99.88,99.88,99.88,99.88,0.0,0.0,-0.04,-0.1
2016-02-01 10:44:00,100.49,100.49,100.49,100.49,0.0,0.0,99.88,99.88,99.88,99.88,0.0,0.0,-0.04,-0.1
2016-02-01 10:45:00,100.51,100.51,100.51,100.51,2100.0,21107050.0,99.88,99.88,99.88,99.88,100.0,998800.0,-0.02,-0.1
2016-02-01 10:46:00,100.5,100.51,100.51,100.5,400.0,4020250.0,99.88,99.89,99.9,99.88,3900.0,38957750.0,-0.02,-0.09
2016-02-01 10:47:00,100.51,100.51,100.51,100.51,100.0,1005050.0,99.89,99.88,99.89,99.88,1100.0,10986850.0,-0.02,-0.1
2016-02-01 10:48:00,100.51,100.51,100.51,100.51,0.0,0.0,99.88,99.87,99.88,99.87,5300.0,52932450.0,-0.02,-0.11
2016-02-01 10:49:00,100.51,100.51,100.51,100.51,0.0,0.0,99.87,99.87,99.87,99.87,1000.0,9986750.0,-0.02,-0.11
2016-02-01 10:50:00,100.51,100.51,100.51,100.51,0.0,0.0,99.88,99.87,99.88,99.87,7500.0,74899950.0,-0.02,-0.11
