date,7y
2002-01-04,3.0057 
2002-01-07,3.0055 
2002-01-08,3.1302 
2002-01-09,3.1884 
2002-01-10,3.1772 
2002-01-11,3.0593 
2002-01-14,3.0656 
2002-01-15,3.0678 
2002-01-16,3.0195 
2002-01-17,3.0237 
2002-01-18,3.0164 
2002-01-21,2.9791 
2002-01-22,3.0362 
2002-01-23,2.9487 
2002-01-24,2.9748 
2002-01-25,2.8544 
2002-01-28,2.9083 
2002-01-29,3.3524 
2002-01-30,2.9429 
2002-01-31,2.9494 
2002-02-01,2.9152 
2002-02-04,2.9339 
2002-02-05,2.8968 
2002-02-06,2.9123 
2002-02-07,2.9597 
2002-02-08,2.9232 
2002-02-09,2.9137 
2002-02-10,2.9311 
2002-02-11,2.9459 
2002-02-19,2.8993 
2002-02-20,2.8750 
2002-02-21,2.8876 
2002-02-22,2.9464 
2002-02-25,2.8635 
2002-02-26,2.8473 
2002-02-27,2.8445 
2002-02-28,2.8291 
2002-03-01,2.8205 
2002-03-04,2.8073 
2002-03-05,2.7943 
2002-03-06,2.7655 
2002-03-07,2.7600 
2002-03-08,2.7493 
2002-03-11,2.7683 
2002-03-12,2.7041 
2002-03-13,2.6945 
2002-03-14,2.6847 
2002-03-15,2.7284 
2002-03-18,2.7612 
2002-03-19,2.6983 
2002-03-20,2.7561 
2002-03-21,2.6663 
2002-03-22,2.6637 
2002-03-25,2.6241 
2002-03-26,2.6231 
2002-03-27,2.7407 
2002-03-28,2.7412 
2002-03-29,2.5902 
2002-04-01,2.4986 
2002-04-02,2.4209 
2002-04-03,2.6618 
2002-04-04,2.4892 
2002-04-05,2.9218 
2002-04-08,2.4952 
2002-04-09,2.5478 
2002-04-10,2.4872 
2002-04-11,2.4447 
2002-04-12,2.4654 
2002-04-15,2.4248 
2002-04-16,2.3704 
2002-04-17,2.3866 
2002-04-18,2.3130 
2002-04-19,2.3988 
2002-04-22,2.3811 
2002-04-23,2.3403 
2002-04-24,2.4049 
2002-04-25,2.3446 
2002-04-26,2.3799 
2002-04-27,2.4309 
2002-04-28,3.0209 
2002-04-29,2.3386 
2002-04-30,2.3253 
2002-05-08,2.3495 
2002-05-09,2.3239 
2002-05-10,2.2445 
2002-05-13,2.3162 
2002-05-14,2.3567 
2002-05-15,2.3154 
2002-05-16,2.3057 
2002-05-17,2.3602 
2002-05-20,2.2956 
2002-05-21,2.2937 
2002-05-22,2.3615 
2002-05-23,2.3912 
2002-05-24,2.3358 
2002-05-27,2.2790 
2002-05-28,2.2559 
2002-05-29,2.2604 
2002-05-30,2.2343 
2002-05-31,2.2266 
2002-06-03,2.1894 
2002-06-04,2.4441 
2002-06-05,2.4926 
2002-06-06,2.2319 
2002-06-07,2.4124 
2002-06-10,2.2707 
2002-06-11,2.3029 
2002-06-12,2.2692 
2002-06-13,2.2659 
2002-06-14,2.2731 
2002-06-17,2.2673 
2002-06-18,2.2278 
2002-06-19,2.2918 
2002-06-20,2.2700 
2002-06-21,2.2742 
2002-06-24,2.3013 
2002-06-25,2.4162 
2002-06-26,2.4488 
2002-06-27,2.3789 
2002-06-28,2.3561 
2002-07-01,2.3625 
2002-07-02,2.3305 
2002-07-03,2.3995 
2002-07-04,2.3156 
2002-07-05,2.3626 
2002-07-08,2.3075 
2002-07-09,2.3072 
2002-07-10,2.3489 
2002-07-11,2.3440 
2002-07-12,2.3658 
2002-07-15,2.5018 
2002-07-16,2.4385 
2002-07-17,2.5021 
2002-07-18,2.5306 
2002-07-19,2.6256 
2002-07-22,2.6470 
2002-07-23,2.5556 
2002-07-24,2.6399 
2002-07-25,2.5270 
2002-07-26,2.5834 
2002-07-29,2.5379 
2002-07-30,2.5511 
2002-07-31,2.5723 
2002-08-01,2.6620 
2002-08-02,2.7097 
2002-08-05,2.6775 
2002-08-06,2.6268 
2002-08-07,2.6653 
2002-08-08,2.6022 
2002-08-09,2.7909 
2002-08-12,2.7459 
2002-08-13,2.6816 
2002-08-14,2.6984 
2002-08-15,2.6757 
2002-08-16,2.9108 
2002-08-19,2.8969 
2002-08-20,2.9296 
2002-08-21,2.9508 
2002-08-22,2.5639 
2002-08-26,2.9367 
2002-08-27,2.9214 
2002-08-28,2.9337 
2002-08-29,2.7367 
2002-08-30,2.7227 
2002-09-02,2.7827 
2002-09-03,2.6077 
2002-09-04,2.6783 
2002-09-05,3.0829 
2002-09-06,2.9912 
2002-09-09,3.0341 
2002-09-10,2.8949 
2002-09-11,2.6811 
2002-09-12,2.7306 
2002-09-13,3.0202 
2002-09-16,2.8053 
2002-09-17,2.8590 
2002-09-18,2.6889 
2002-09-19,2.7988 
2002-09-20,2.8792 
2002-09-23,2.7721 
2002-09-24,2.7663 
2002-09-25,2.9620 
2002-09-26,2.6655 
2002-09-27,2.8226 
2002-09-28,2.7193 
2002-09-29,3.0019 
2002-09-30,2.7409 
2002-10-08,2.8410 
2002-10-09,2.8895 
2002-10-10,2.7978 
2002-10-11,2.8118 
2002-10-14,2.8013 
2002-10-15,2.7923 
2002-10-16,2.7915 
2002-10-17,2.7592 
2002-10-18,2.7288 
2002-10-21,2.8460 
2002-10-22,2.8697 
2002-10-23,2.8228 
2002-10-24,2.6923 
2002-10-25,2.7746 
2002-10-28,2.7081 
2002-10-29,2.8795 
2002-10-30,2.9025 
2002-10-31,2.7343 
2002-11-01,2.9404 
2002-11-04,2.9747 
2002-11-05,2.9628 
2002-11-06,2.9554 
2002-11-07,2.9653 
2002-11-08,2.9060 
2002-11-11,2.9468 
2002-11-12,2.9423 
2002-11-13,2.9551 
2002-11-14,2.9598 
2002-11-15,2.9526 
2002-11-18,2.9348 
2002-11-19,2.8603 
2002-11-20,2.9215 
2002-11-21,2.9444 
2002-11-22,2.9004 
2002-11-25,2.9096 
2002-11-26,2.9062 
2002-11-27,2.9251 
2002-11-28,2.9406 
2002-11-29,3.0551 
2002-12-02,2.9682 
2002-12-03,2.9802 
2002-12-04,2.9701 
2002-12-05,2.9084 
2002-12-06,2.9826 
2002-12-09,2.9551 
2002-12-10,2.8264 
2002-12-11,2.8502 
2002-12-12,3.0067 
2002-12-13,3.0124 
2002-12-16,2.9602 
2002-12-17,2.9603 
2002-12-18,2.6854 
2002-12-19,2.8629 
2002-12-20,2.8463 
2002-12-23,2.9055 
2002-12-24,2.6770 
2002-12-25,2.7837 
2002-12-26,2.9819 
2002-12-27,3.1093 
2002-12-30,3.0862 
2002-12-31,2.8983 
2003-01-02,2.7238 
2003-01-03,2.7731 
2003-01-06,2.8525 
2003-01-07,2.9162 
2003-01-08,2.8051 
2003-01-09,2.9407 
2003-01-10,2.7469 
2003-01-13,2.7277 
2003-01-14,2.7636 
2003-01-15,2.7346 
2003-01-16,2.8007 
2003-01-17,2.8074 
2003-01-20,2.7895 
2003-01-21,2.7955 
2003-01-22,2.6784 
2003-01-23,2.6774 
2003-01-24,2.7780 
2003-01-27,2.7088 
2003-01-28,2.6582 
2003-01-29,2.7282 
2003-01-30,2.8036 
2003-01-31,2.8474 
2003-02-08,2.7125 
2003-02-09,2.8291 
2003-02-10,2.7561 
2003-02-11,2.8094 
2003-02-12,2.7410 
2003-02-13,2.7428 
2003-02-14,2.7353 
2003-02-17,2.8318 
2003-02-18,2.7872 
2003-02-19,2.7609 
2003-02-20,2.7180 
2003-02-21,2.7067 
2003-02-24,2.7066 
2003-02-25,2.8775 
2003-02-26,2.7291 
2003-02-27,2.7353 
2003-02-28,2.6543 
