date,open,high,low,close,vol
 2013/09/06,94.22,94.54,94.14,94.17,34248
 2013/09/09,94.156,94.156,93.858,93.906,11831
 2013/09/10,93.87,93.916,93.806,93.842,5375
 2013/09/11,93.718,93.78,93.494,93.598,8830
 2013/09/12,93.59,93.83,93.59,93.728,8379
 2013/09/13,93.7,93.846,93.678,93.764,6901
 2013/09/16,93.764,93.938,93.74,93.854,3850
 2013/09/17,93.87,94.558,93.842,94.234,22275
 2013/09/18,94.25,94.378,94.1,94.206,10692
 2013/09/23,94.55,94.592,94.27,94.35,7345
 2013/09/24,94.312,94.4,94.242,94.34,5063
 2013/09/25,94.35,94.55,94.35,94.42,8207
 2013/09/26,94.448,94.614,94.448,94.572,5405
 2013/09/27,94.55,94.552,94.3,94.346,4453
 2013/09/30,94.346,94.5,94.202,94.462,3515
 2013/10/08,94.52,94.546,94.402,94.412,2399
 2013/10/09,94.33,94.4,94.282,94.362,1869
 2013/10/10,94.362,94.446,94.28,94.35,1506
 2013/10/11,94.35,94.35,94.22,94.29,1730
 2013/10/14,94.278,94.28,93.982,94.118,2493
 2013/10/15,94.092,94.116,93.85,93.948,2242
 2013/10/16,93.856,94.1,93.84,94.012,3253
 2013/10/17,94,94.04,93.898,93.926,1616
 2013/10/18,93.924,93.946,93.812,93.886,1002
 2013/10/21,93.886,93.948,93.814,93.858,1068
 2013/10/22,93.852,93.87,93.716,93.772,2021
 2013/10/23,93.76,93.85,93.686,93.812,1846
 2013/10/24,93.8,93.82,93.556,93.6,2129
 2013/10/25,93.6,93.688,93.506,93.688,2209
 2013/10/28,93.67,93.758,93.642,93.67,1640
 2013/10/29,93.658,93.768,93.504,93.504,2602
 2013/10/30,93.526,93.572,93.452,93.54,1873
 2013/10/31,93.538,93.756,93.52,93.74,2171
 2013/11/01,93.766,93.92,93.766,93.836,1713
 2013/11/04,93.85,93.86,93.544,93.632,2025
 2013/11/05,93.642,93.642,93.388,93.474,2428
 2013/11/06,93.484,93.514,93.338,93.362,1932
 2013/11/07,93.31,93.438,92.818,92.828,4139
 2013/11/08,92.8,92.8,91.718,92.292,3139
 2013/11/11,92.39,92.39,91.616,91.73,3901
 2013/11/12,91.77,92.374,91.77,92.096,5568
 2013/11/13,92.098,92.1,91.57,91.82,3586
 2013/11/14,91.8,91.906,91.406,91.63,3516
 2013/11/15,91.6,91.6,91.262,91.318,3633
 2013/11/18,91.344,91.484,90.966,91.342,3387
 2013/11/19,91.37,91.642,90.93,90.94,3584
 2013/11/20,90.89,91.194,90.8,91.092,3919
 2013/11/21,91.116,91.396,91.116,91.396,3405
 2013/11/22,91.4,91.788,91.3,91.604,2804
 2013/11/25,91.604,91.86,91.224,91.308,1858
 2013/11/26,91.344,91.4,91.11,91.374,1295
 2013/11/27,91.384,91.878,91.384,91.766,2363
 2013/11/28,92.27,92.548,92.012,92.548,2300
 2013/11/29,92.6,92.8,92.488,92.558,3391
 2013/12/02,92.506,92.588,92.03,92.072,2156
 2013/12/03,92.1,92.33,91.85,92.286,3309
 2013/12/04,92.302,92.634,92.042,92.1,3297
 2013/12/05,92.038,92.246,91.81,91.824,3606
 2013/12/06,91.84,91.966,91.756,91.918,1851
 2013/12/09,91.856,92.09,91.67,91.688,1850
 2013/12/10,91.66,91.67,91.3,91.308,3041
 2013/12/11,91.3,91.5,91.184,91.46,3850
 2013/12/12,91.55,91.888,91.504,91.782,4140
 2013/12/13,91.85,92.046,91.794,91.914,3247
 2013/12/16,91.878,91.878,91.45,91.452,1888
 2013/12/17,91.432,91.594,91.354,91.59,2268
 2013/12/18,91.55,91.59,91.256,91.436,2586
 2013/12/19,91.4,91.418,91.186,91.374,2991
 2013/12/20,91.496,91.5,91.266,91.386,1946
 2013/12/23,91.38,91.8,91.292,91.702,3675
 2013/12/24,91.746,91.998,91.586,91.65,3551
 2013/12/25,91.646,91.82,91.61,91.792,2038
 2013/12/26,91.79,91.84,91.616,91.67,1701
 2013/12/27,91.668,91.67,91.426,91.56,1881
 2013/12/30,91.56,91.894,91.56,91.798,1937
 2013/12/31,91.75,91.852,91.506,91.802,2990
 2014/01/02,91.796,91.796,91.338,91.35,2350
 2014/01/03,91.3,91.384,91.13,91.306,3186
 2014/01/06,91.3,91.4,91.152,91.22,2263
 2014/01/07,91.2,91.502,91.2,91.44,2733
 2014/01/08,91.486,91.742,91.402,91.696,2670
