,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,4894788.0,601377.XSHG,34.53,87.72,3.97,11.76,3.46,220000.0,326.92,21040.0,31.27,2010-10-13,28.2962
0,4894789.0,601377.XSHG,37.99,73.32,4.37,12.93,3.81,220000.0,359.7,21040.0,34.4,2010-10-14,31.1335
0,4894790.0,601377.XSHG,41.8,50.44,4.81,14.23,4.19,220000.0,395.78,21040.0,37.85,2010-10-15,34.2563
0,4894790.0,601377.XSHG,41.8,50.44,4.81,14.23,4.19,220000.0,395.78,21040.0,37.85,2010-10-15,34.2563
0,4894790.0,601377.XSHG,41.8,50.44,4.81,14.23,4.19,220000.0,395.78,21040.0,37.85,2010-10-15,34.2563
0,4894791.0,601377.XSHG,45.98,40.59,5.29,15.66,4.61,220000.0,435.38,21040.0,41.64,2010-10-18,37.6839
0,4894792.0,601377.XSHG,47.89,39.24,5.51,16.3,4.8,220000.0,453.42,21040.0,43.36,2010-10-19,39.2453
0,4894793.0,601377.XSHG,50.79,35.84,5.85,17.29,5.1,220000.0,480.92,21040.0,45.99,2010-10-20,41.6255
0,4894794.0,601377.XSHG,48.45,23.43,5.58,16.49,4.86,220000.0,458.7,21040.0,43.87,2010-10-21,39.7023
0,4894795.0,601377.XSHG,47.22,20.83,5.44,16.07,4.74,220000.0,447.04,21040.0,42.75,2010-10-22,38.6931
0,4894795.0,601377.XSHG,47.22,20.83,5.44,16.07,4.74,220000.0,447.04,21040.0,42.75,2010-10-22,38.6931
0,4894795.0,601377.XSHG,47.22,20.83,5.44,16.07,4.74,220000.0,447.04,21040.0,42.75,2010-10-22,38.6931
0,4894796.0,601377.XSHG,50.12,29.53,5.77,17.06,5.03,220000.0,474.54,21040.0,45.38,2010-10-25,41.0733
0,4894797.0,601377.XSHG,48.59,22.41,5.59,16.54,4.87,220000.0,460.02,21040.0,43.99,2010-10-26,39.8166
0,4894798.0,601377.XSHG,50.73,12.17,5.43,16.49,-276.05,220000.0,446.6,21040.0,42.71,2010-10-27,38.655
0,4894799.0,601377.XSHG,52.73,16.96,5.64,17.14,-286.93,220000.0,464.2,21040.0,44.39,2010-10-28,40.1784
0,4894800.0,601377.XSHG,50.28,14.94,5.38,16.35,-273.6,220000.0,442.64,21040.0,42.33,2010-10-29,38.3123
0,4894800.0,601377.XSHG,50.28,14.94,5.38,16.35,-273.6,220000.0,442.64,21040.0,42.33,2010-10-29,38.3123
0,4894800.0,601377.XSHG,50.28,14.94,5.38,16.35,-273.6,220000.0,442.64,21040.0,42.33,2010-10-29,38.3123
0,4894801.0,601377.XSHG,51.15,15.43,5.48,16.63,-278.36,220000.0,450.34,21040.0,43.07,2010-11-01,38.9787
0,4894802.0,601377.XSHG,51.95,22.0,5.56,16.89,-282.71,220000.0,457.38,21040.0,43.74,2010-11-02,39.5881
0,4894803.0,601377.XSHG,55.28,36.19,5.92,17.97,-300.8,220000.0,486.64,21040.0,46.54,2010-11-03,42.1206
0,4894804.0,601377.XSHG,55.33,20.56,5.92,17.99,-301.07,220000.0,487.08,21040.0,46.58,2010-11-04,42.1587
0,4894805.0,601377.XSHG,57.32,22.34,6.14,18.64,-311.95,220000.0,504.68,21040.0,48.27,2010-11-05,43.6821
0,4894805.0,601377.XSHG,57.32,22.34,6.14,18.64,-311.95,220000.0,504.68,21040.0,48.27,2010-11-05,43.6821
0,4894805.0,601377.XSHG,57.32,22.34,6.14,18.64,-311.95,220000.0,504.68,21040.0,48.27,2010-11-05,43.6821
0,4894806.0,601377.XSHG,58.55,13.0,6.27,19.03,-318.61,220000.0,515.46,21040.0,49.3,2010-11-08,44.6151
0,4894807.0,601377.XSHG,57.0,11.06,6.1,18.53,-310.18,220000.0,501.82,21040.0,47.99,2010-11-09,43.4345
0,4894808.0,601377.XSHG,56.87,11.66,6.09,18.49,-309.5,220000.0,500.72,21040.0,47.89,2010-11-10,43.3393
