,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,682555,000712.XSHE,180.17,0.83,1.63,1.67,-3.89,15231.0,7.14,3807.0,1.79,2005-01-04,108.99
0,682556,000712.XSHE,186.7,1.79,1.69,1.73,-4.03,15231.0,7.4,3807.0,1.85,2005-01-05,112.9406
0,682557,000712.XSHE,184.4,0.61,1.67,1.71,-3.98,15231.0,7.31,3807.0,1.83,2005-01-06,111.5463
0,682558,000712.XSHE,179.02,0.6,1.62,1.66,-3.87,15231.0,7.1,3807.0,1.77,2005-01-07,108.2928
0,682558,000712.XSHE,179.02,0.6,1.62,1.66,-3.87,15231.0,7.1,3807.0,1.77,2005-01-07,108.2928
0,682558,000712.XSHE,179.02,0.6,1.62,1.66,-3.87,15231.0,7.1,3807.0,1.77,2005-01-07,108.2928
0,682559,000712.XSHE,177.1,0.42,1.6,1.64,-3.83,15231.0,7.02,3807.0,1.75,2005-01-10,107.1309
0,682560,000712.XSHE,179.4,0.29,1.62,1.66,-3.87,15231.0,7.11,3807.0,1.78,2005-01-11,108.5252
0,682561,000712.XSHE,178.25,0.2,1.61,1.65,-3.85,15231.0,7.07,3807.0,1.77,2005-01-12,107.8281
0,682562,000712.XSHE,179.79,0.17,1.63,1.66,-3.88,15231.0,7.13,3807.0,1.78,2005-01-13,108.7576
0,682563,000712.XSHE,178.63,0.18,1.62,1.65,-3.86,15231.0,7.08,3807.0,1.77,2005-01-14,108.0605
0,682563,000712.XSHE,178.63,0.18,1.62,1.65,-3.86,15231.0,7.08,3807.0,1.77,2005-01-14,108.0605
0,682563,000712.XSHE,178.63,0.18,1.62,1.65,-3.86,15231.0,7.08,3807.0,1.77,2005-01-14,108.0605
0,682564,000712.XSHE,171.33,0.34,1.55,1.59,-3.7,15231.0,6.79,3807.0,1.7,2005-01-17,103.6451
0,682565,000712.XSHE,174.02,0.2,1.57,1.61,-3.76,15231.0,6.9,3807.0,1.72,2005-01-18,105.2718
0,682566,000712.XSHE,175.56,0.16,1.59,1.63,-3.79,15231.0,6.96,3807.0,1.74,2005-01-19,106.2014
0,682567,000712.XSHE,170.57,0.2,1.54,1.58,-3.68,15231.0,6.76,3807.0,1.69,2005-01-20,103.1803
0,682568,000712.XSHE,173.26,0.23,1.57,1.6,-3.74,15231.0,6.87,3807.0,1.72,2005-01-21,104.807
0,682568,000712.XSHE,173.26,0.23,1.57,1.6,-3.74,15231.0,6.87,3807.0,1.72,2005-01-21,104.807
0,682568,000712.XSHE,173.26,0.23,1.57,1.6,-3.74,15231.0,6.87,3807.0,1.72,2005-01-21,104.807
0,682569,000712.XSHE,177.48,0.36,1.61,1.64,-3.83,15231.0,7.04,3807.0,1.76,2005-01-24,107.3633
0,682570,000712.XSHE,177.48,0.18,1.61,1.64,-3.83,15231.0,7.04,3807.0,1.76,2005-01-25,107.3633
0,682571,000712.XSHE,174.41,0.13,1.58,1.62,-3.77,15231.0,6.91,3807.0,1.73,2005-01-26,105.5042
0,682572,000712.XSHE,171.33,0.17,1.55,1.59,-3.7,15231.0,6.79,3807.0,1.7,2005-01-27,103.6451
0,682573,000712.XSHE,170.18,0.52,1.54,1.58,-3.68,15231.0,6.75,3807.0,1.69,2005-01-28,102.9479
0,682573,000712.XSHE,170.18,0.52,1.54,1.58,-3.68,15231.0,6.75,3807.0,1.69,2005-01-28,102.9479
0,682573,000712.XSHE,170.18,0.52,1.54,1.58,-3.68,15231.0,6.75,3807.0,1.69,2005-01-28,102.9479
0,682574,000712.XSHE,167.11,0.63,1.51,1.55,-3.61,15231.0,6.63,3807.0,1.66,2005-01-31,101.0888
0,682575,000712.XSHE,156.35,1.06,1.41,1.45,-3.38,15231.0,6.2,3807.0,1.55,2005-02-01,94.5819
0,682576,000712.XSHE,164.42,0.61,1.49,1.52,-3.55,15231.0,6.52,3807.0,1.63,2005-02-02,99.4621
0,682577,000712.XSHE,160.19,0.44,1.45,1.48,-3.46,15231.0,6.35,3807.0,1.59,2005-02-03,96.9058
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682578,000712.XSHE,162.11,0.4,1.47,1.5,-3.5,15231.0,6.43,3807.0,1.61,2005-02-04,98.0678
0,682579,000712.XSHE,165.57,0.32,1.5,1.53,-3.58,15231.0,6.56,3807.0,1.64,2005-02-16,100.1593
0,682580,000712.XSHE,165.57,0.17,1.5,1.53,-3.58,15231.0,6.56,3807.0,1.64,2005-02-17,100.1593
0,682581,000712.XSHE,165.19,0.27,1.49,1.53,-3.57,15231.0,6.55,3807.0,1.64,2005-02-18,99.9269
0,682581,000712.XSHE,165.19,0.27,1.49,1.53,-3.57,15231.0,6.55,3807.0,1.64,2005-02-18,99.9269
0,682581,000712.XSHE,165.19,0.27,1.49,1.53,-3.57,15231.0,6.55,3807.0,1.64,2005-02-18,99.9269
0,682582,000712.XSHE,167.49,0.17,1.52,1.55,-3.62,15231.0,6.64,3807.0,1.66,2005-02-21,101.3212
0,682583,000712.XSHE,181.71,2.14,1.64,1.68,-3.92,15231.0,7.2,3807.0,1.8,2005-02-22,109.9196
0,682584,000712.XSHE,180.55,3.6,1.63,1.67,-3.9,15231.0,7.16,3807.0,1.79,2005-02-23,109.2224
0,682585,000712.XSHE,180.55,0.85,1.63,1.67,-3.9,15231.0,7.16,3807.0,1.79,2005-02-24,109.2224
