,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,4943788.0,601788.XSHG,68.48,58.48,7.8,25.37,-7.09,341800.0,936.53,34080.0,93.38,2009-08-18,68.483
0,4943789.0,601788.XSHG,61.63,29.8,7.02,22.84,-6.38,341800.0,842.88,34080.0,84.04,2009-08-19,61.6347
0,4943790.0,601788.XSHG,63.86,26.16,7.28,23.66,-6.61,341800.0,873.3,34080.0,87.07,2009-08-20,63.8591
0,4943791.0,601788.XSHG,61.68,20.78,7.03,22.85,-6.39,341800.0,843.56,34080.0,84.11,2009-08-21,61.6847
0,4943791.0,601788.XSHG,61.68,20.78,7.03,22.85,-6.39,341800.0,843.56,34080.0,84.11,2009-08-21,61.6847
0,4943791.0,601788.XSHG,61.68,20.78,7.03,22.85,-6.39,341800.0,843.56,34080.0,84.11,2009-08-21,61.6847
0,4943792.0,601788.XSHG,60.61,13.05,6.91,22.46,-6.28,341800.0,828.86,34080.0,82.64,2009-08-24,60.6099
0,4943793.0,601788.XSHG,55.08,20.54,7.18,21.19,-3.26,341800.0,861.34,34080.0,85.88,2009-08-25,62.9843
0,4943794.0,601788.XSHG,54.27,15.43,7.07,20.88,-3.21,341800.0,848.69,34080.0,84.62,2009-08-26,62.0596
0,4943795.0,601788.XSHG,53.9,11.16,7.02,20.74,-3.19,341800.0,842.88,34080.0,84.04,2009-08-27,61.6347
0,4943796.0,601788.XSHG,52.09,9.87,6.79,20.04,-3.08,341800.0,814.51,34080.0,81.21,2009-08-28,59.5602
0,4943796.0,601788.XSHG,52.09,9.87,6.79,20.04,-3.08,341800.0,814.51,34080.0,81.21,2009-08-28,59.5602
0,4943796.0,601788.XSHG,52.09,9.87,6.79,20.04,-3.08,341800.0,814.51,34080.0,81.21,2009-08-28,59.5602
0,4943797.0,601788.XSHG,48.5,10.66,6.32,18.66,-2.87,341800.0,758.45,34080.0,75.62,2009-08-31,55.4612
0,4943798.0,601788.XSHG,48.79,7.12,6.36,18.77,-2.89,341800.0,762.9,34080.0,76.07,2009-09-01,55.7861
0,4943799.0,601788.XSHG,48.79,5.82,6.36,18.77,-2.89,341800.0,762.9,34080.0,76.07,2009-09-02,55.7861
0,4943800.0,601788.XSHG,51.37,12.76,6.69,19.76,-3.04,341800.0,803.23,34080.0,80.09,2009-09-03,58.7354
