,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,4931843.0,601688.XSHG,31.07,56.61,8.47,12.33,2.86,560000.0,1179.36,54919.0,115.66,2010-02-26,31.0743
0,4931843.0,601688.XSHG,31.07,56.61,8.47,12.33,2.86,560000.0,1179.36,54919.0,115.66,2010-02-26,31.0743
0,4931843.0,601688.XSHG,31.07,56.61,8.47,12.33,2.86,560000.0,1179.36,54919.0,115.66,2010-02-26,31.0743
0,4931844.0,601688.XSHG,31.21,17.407,8.51,12.38,2.87,560000.0,1184.4,54919.0,116.15,2010-03-01,31.2071
0,4931845.0,601688.XSHG,30.69,10.838,8.37,12.18,2.83,560000.0,1164.8,54919.0,114.23,2010-03-02,30.6907
0,4931846.0,601688.XSHG,31.62,15.199,8.62,12.55,2.91,560000.0,1200.08,54919.0,117.69,2010-03-03,31.6202
0,4931847.0,601688.XSHG,30.72,9.358,8.38,12.19,2.83,560000.0,1165.92,54919.0,114.34,2010-03-04,30.7202
0,4931848.0,601688.XSHG,32.83,31.533,8.95,13.03,3.02,560000.0,1246.0,54919.0,122.2,2010-03-05,32.8302
0,4931848.0,601688.XSHG,32.83,31.533,8.95,13.03,3.02,560000.0,1246.0,54919.0,122.2,2010-03-05,32.8302
0,4931848.0,601688.XSHG,32.83,31.533,8.95,13.03,3.02,560000.0,1246.0,54919.0,122.2,2010-03-05,32.8302
0,4931849.0,601688.XSHG,33.1,11.472,9.02,13.13,3.05,560000.0,1256.08,54919.0,123.18,2010-03-08,33.0957
0,4931850.0,601688.XSHG,33.02,11.27,9.0,13.11,3.04,560000.0,1253.28,54919.0,122.91,2010-03-09,33.022
0,4931851.0,601688.XSHG,32.9,9.899,8.97,13.06,3.03,560000.0,1248.8,54919.0,122.47,2010-03-10,32.9039
0,4931852.0,601688.XSHG,33.82,16.784,9.22,13.42,3.11,560000.0,1283.52,54919.0,125.88,2010-03-11,33.8187
0,4931853.0,601688.XSHG,33.2,10.92,9.05,13.18,3.06,560000.0,1260.0,54919.0,123.57,2010-03-12,33.199
0,4931853.0,601688.XSHG,33.2,10.92,9.05,13.18,3.06,560000.0,1260.0,54919.0,123.57,2010-03-12,33.199
0,4931853.0,601688.XSHG,33.2,10.92,9.05,13.18,3.06,560000.0,1260.0,54919.0,123.57,2010-03-12,33.199
0,4931854.0,601688.XSHG,33.07,6.322,9.01,13.12,3.04,560000.0,1254.96,54919.0,123.07,2010-03-15,33.0662
0,4931855.0,601688.XSHG,32.93,7.836,8.98,13.07,3.03,560000.0,1249.92,54919.0,122.58,2010-03-16,32.9334
0,4931856.0,601688.XSHG,33.42,9.364,9.11,13.26,3.08,560000.0,1268.4,54919.0,124.39,2010-03-17,33.4204
0,4931857.0,601688.XSHG,32.9,7.54,8.97,13.06,3.03,560000.0,1248.8,54919.0,122.47,2010-03-18,32.9039
0,4931858.0,601688.XSHG,32.92,5.23,8.97,13.06,3.03,560000.0,1249.36,54919.0,122.52,2010-03-19,32.9187
0,4931858.0,601688.XSHG,32.92,5.23,8.97,13.06,3.03,560000.0,1249.36,54919.0,122.52,2010-03-19,32.9187
0,4931858.0,601688.XSHG,32.92,5.23,8.97,13.06,3.03,560000.0,1249.36,54919.0,122.52,2010-03-19,32.9187
0,4931859.0,601688.XSHG,32.27,9.32,8.8,12.81,2.97,560000.0,1224.72,54919.0,120.11,2010-03-22,32.2695
0,4931860.0,601688.XSHG,32.05,4.43,8.74,12.72,2.95,560000.0,1216.3199,54919.0,119.28,2010-03-23,32.0481
0,4931861.0,601688.XSHG,32.15,3.42,8.77,12.76,2.96,560000.0,1220.24,54919.0,119.67,2010-03-24,32.1514
0,4931862.0,601688.XSHG,31.52,4.79,8.59,12.51,2.9,560000.0,1196.16,54919.0,117.31,2010-03-25,31.5169
0,4931863.0,601688.XSHG,31.99,3.918,8.72,12.7,2.95,560000.0,1214.08,54919.0,119.07,2010-03-26,31.9891
0,4931863.0,601688.XSHG,31.99,3.918,8.72,12.7,2.95,560000.0,1214.08,54919.0,119.07,2010-03-26,31.9891
0,4931863.0,601688.XSHG,31.99,3.918,8.72,12.7,2.95,560000.0,1214.08,54919.0,119.07,2010-03-26,31.9891
0,4931864.0,601688.XSHG,32.58,6.59,8.88,12.93,3.0,560000.0,1236.48,54919.0,121.26,2010-03-29,32.5793
0,4931865.0,601688.XSHG,32.27,4.79,8.8,12.81,2.97,560000.0,1224.72,54919.0,120.11,2010-03-30,32.2695
0,4931866.0,601688.XSHG,31.9,4.28,4.0,12.66,2.94,560000.0,1210.72,54919.0,118.74,2010-03-31,31.9006
0,4931867.0,601688.XSHG,32.31,5.01,4.05,12.82,2.98,560000.0,1226.4,54919.0,120.27,2010-04-01,32.3137
0,4931868.0,601688.XSHG,32.17,3.66,4.03,12.77,2.96,560000.0,1220.8,54919.0,119.72,2010-04-02,32.1662
0,4931868.0,601688.XSHG,32.17,3.66,4.03,12.77,2.96,560000.0,1220.8,54919.0,119.72,2010-04-02,32.1662
0,4931868.0,601688.XSHG,32.17,3.66,4.03,12.77,2.96,560000.0,1220.8,54919.0,119.72,2010-04-02,32.1662
0,4931868.0,601688.XSHG,32.17,3.66,4.03,12.77,2.96,560000.0,1220.8,54919.0,119.72,2010-04-02,32.1662
0,4931869.0,601688.XSHG,32.23,3.699,4.04,12.79,2.97,560000.0,1223.04,54919.0,119.94,2010-04-06,32.2252
0,4931870.0,601688.XSHG,31.84,3.576,3.99,12.64,2.93,560000.0,1208.48,54919.0,118.52,2010-04-07,31.8416
0,4931871.0,601688.XSHG,31.52,4.17,3.95,12.51,2.9,560000.0,1196.16,54919.0,117.31,2010-04-08,31.5169
0,4931872.0,601688.XSHG,31.72,2.94,3.98,12.59,2.92,560000.0,1204.0,54919.0,118.08,2010-04-09,31.7235
