,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
0,747930,000750.XSHE,-25.94,0.34,1.46,2.72,-11.27,21506.0,6.9,12205.0,3.92,2005-01-04,-5.3469
0,747931,000750.XSHE,-26.5,0.45,1.49,2.78,-11.52,21506.0,7.05,12205.0,4.0,2005-01-05,-5.4635
0,747932,000750.XSHE,-27.23,0.71,1.53,2.86,-11.83,21506.0,7.25,12205.0,4.11,2005-01-06,-27.2315
0,747933,000750.XSHE,-26.67,0.55,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-07,-5.4969
0,747933,000750.XSHE,-26.67,0.55,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-07,-5.4969
0,747933,000750.XSHE,-26.67,0.55,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-07,-5.4969
0,747934,000750.XSHE,-26.99,0.48,1.52,2.83,-11.73,21506.0,7.18,12205.0,4.08,2005-01-10,-26.9891
0,747935,000750.XSHE,-26.91,0.25,1.52,2.82,-11.69,21506.0,7.16,12205.0,4.06,2005-01-11,-5.5468
0,747936,000750.XSHE,-26.67,0.27,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-12,-5.4969
0,747937,000750.XSHE,-26.67,0.34,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-13,-5.4969
0,747938,000750.XSHE,-26.1,0.35,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-14,-5.3803
0,747938,000750.XSHE,-26.1,0.35,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-14,-5.3803
0,747938,000750.XSHE,-26.1,0.35,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-14,-5.3803
0,747939,000750.XSHE,-26.18,0.4,1.47,2.75,-11.38,21506.0,6.97,12205.0,3.95,2005-01-17,-5.3969
0,747940,000750.XSHE,-26.67,0.44,1.5,2.8,-11.59,21506.0,7.1,12205.0,4.03,2005-01-18,-5.4969
0,747941,000750.XSHE,-27.07,1.3,1.52,2.84,-11.76,21506.0,7.2,12205.0,4.09,2005-01-19,-5.5801
0,747942,000750.XSHE,-26.75,0.49,1.51,2.81,-11.62,21506.0,7.12,12205.0,4.04,2005-01-20,-26.7467
0,747943,000750.XSHE,-27.23,0.64,1.53,2.86,-11.83,21506.0,7.25,12205.0,4.11,2005-01-21,-27.2315
0,747943,000750.XSHE,-27.23,0.64,1.53,2.86,-11.83,21506.0,7.25,12205.0,4.11,2005-01-21,-27.2315
0,747943,000750.XSHE,-27.23,0.64,1.53,2.86,-11.83,21506.0,7.25,12205.0,4.11,2005-01-21,-27.2315
0,747944,000750.XSHE,-28.04,1.25,1.58,2.94,-12.18,21506.0,7.46,12205.0,4.24,2005-01-24,-5.78
0,747945,000750.XSHE,-27.47,0.52,1.55,2.88,-11.94,21506.0,7.31,12205.0,4.15,2005-01-25,-27.4739
0,747946,000750.XSHE,-26.99,0.25,1.52,2.83,-11.73,21506.0,7.18,12205.0,4.08,2005-01-26,-26.9891
0,747947,000750.XSHE,-27.31,0.58,1.54,2.87,-11.87,21506.0,7.27,12205.0,4.13,2005-01-27,-5.6301
0,747948,000750.XSHE,-26.1,0.62,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-28,-5.3803
0,747948,000750.XSHE,-26.1,0.62,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-28,-5.3803
0,747948,000750.XSHE,-26.1,0.62,1.47,2.74,-11.34,21506.0,6.95,12205.0,3.94,2005-01-28,-5.3803
0,747949,000750.XSHE,-24.73,0.36,1.39,2.59,-10.74,21506.0,6.58,12205.0,3.73,2005-01-31,-5.0971
0,747950,000750.XSHE,-24.4,0.32,1.37,2.56,-10.6,21506.0,6.49,12205.0,3.69,2005-02-01,-5.0305
0,747951,000750.XSHE,-25.7,0.49,1.45,2.7,-11.16,21506.0,6.84,12205.0,3.88,2005-02-02,-5.297
0,747952,000750.XSHE,-24.97,0.49,1.41,2.62,-10.85,21506.0,6.65,12205.0,3.77,2005-02-03,-5.1471
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747953,000750.XSHE,-25.21,0.34,1.42,2.65,-10.95,21506.0,6.71,12205.0,3.81,2005-02-04,-5.197
0,747954,000750.XSHE,-25.7,0.34,1.45,2.7,-11.16,21506.0,6.84,12205.0,3.88,2005-02-16,-5.297
0,747955,000750.XSHE,-26.75,0.68,1.51,2.81,-11.62,21506.0,7.12,12205.0,4.04,2005-02-17,-5.5135
0,747956,000750.XSHE,-26.5,1.47,1.49,2.78,-11.52,21506.0,7.05,12205.0,4.0,2005-02-18,-5.4635
0,747956,000750.XSHE,-26.5,1.47,1.49,2.78,-11.52,21506.0,7.05,12205.0,4.0,2005-02-18,-5.4635
0,747956,000750.XSHE,-26.5,1.47,1.49,2.78,-11.52,21506.0,7.05,12205.0,4.0,2005-02-18,-5.4635
0,747957,000750.XSHE,-26.91,0.5,1.52,2.82,-11.69,21506.0,7.16,12205.0,4.06,2005-02-21,-5.5468
0,747958,000750.XSHE,-27.39,0.75,1.54,2.87,-11.9,21506.0,7.29,12205.0,4.14,2005-02-22,-5.6468
