code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600543,莫高股份,红黄药酒,甘肃,131.86,3.21,3.21,128122.22,44560.9,73592.61,46593.48,1.45,0.044,3.47,3.37,20040324,22150.1,0.69,11.93,13.44,58.93,11.91,20754
600183,生益科技,元器件,广东,17.98,14.54,14.54,1000734.81,582241.94,357840.5,119805.01,0.82,0.2,3.7,3.8,19981028,201644.02,1.39,25.6,85.53,24.97,11.93,54772
600518,康美药业,中成药,广东,24.38,44.03,49.47,5842580.0,4760949.0,594344.69,1135584.88,2.3,0.216,6.09,3.45,20010319,954090.63,1.93,21.56,7.96,29.58,14.92,133830
600594,益佰制药,中成药,贵州,30.2,7.92,7.92,656978.56,226074.02,105474.65,76838.77,0.97,0.232,5.21,2.69,20040323,229889.77,2.9,13.08,6.54,73.47,9.41,44635
600939,重庆建工,建筑施工,重庆,105.43,1.82,18.15,6131334.5,4859619.0,126189.52,114875.22,0.63,0.022,2.66,3.5,20170221,152880.27,0.84,0.0,0.0,5.08,0.39,104684
600158,中体产业,文教休闲,天津,0.0,6.57,8.44,360468.84,323038.97,9933.99,2380.65,0.03,-0.015,1.87,7.42,19980327,58485.8,0.69,-17.84,-11.38,19.53,-12.16,122640
600123,兰花科创,煤炭开采,山西,10.29,11.42,11.42,2485001.0,534763.31,697719.0,26791.65,0.23,0.447,8.05,1.14,19981217,577189.13,5.05,126.98,384.08,36.14,12.85,69509
002228,合兴包装,广告包装,福建,39.15,10.39,10.43,385464.41,236326.5,88762.97,1119.65,0.01,0.029,1.59,2.89,20080508,57001.86,0.55,49.87,37.54,15.5,2.67,43165
002059,云南旅游,旅游景点,云南,14654.08,7.09,7.31,393911.63,247160.52,52756.98,33718.37,0.46,0.0,2.04,4.5,20060810,33955.26,0.46,45.85,100.93,27.55,0.05,34729
000998,隆平高科,种植业,湖南,31.22,9.56,12.56,793243.13,474368.59,87669.31,281399.06,2.24,0.184,4.68,4.92,20001211,166892.88,1.33,24.83,47.79,45.69,28.23,43877
603041,美思德,化工原料,江苏,36.14,0.25,1.0,75271.63,58471.23,14195.37,31204.43,3.12,0.2,6.72,3.75,20170330,22693.49,2.27,0.0,0.0,38.11,21.06,27789
600645,中源协和,生物制药,天津,79.78,3.54,3.86,293296.53,70080.5,68484.03,100694.67,2.61,0.072,3.96,5.78,19930504,11491.1,0.3,21.97,547.53,66.23,13.25,48638
002502,骅威文化,影视音像,广东,21.79,5.16,8.6,350885.34,122326.45,9348.5,163636.38,1.9,0.105,3.77,2.42,20101117,70423.31,0.82,25.21,194.92,46.04,41.09,40320
300233,金城医药,化学制药,山东,37.04,2.32,3.93,474592.69,164960.61,110278.55,258890.52,6.58,0.18,9.38,2.19,20110622,66801.65,1.7,125.82,32.55,26.74,9.51,9439
600257,大湖股份,渔业,湖南,129.92,4.27,4.81,158942.7,83331.56,20610.13,60026.3,1.25,0.013,2.68,2.55,20000612,16632.32,0.35,13.24,11.3,22.41,3.25,35765
000679,大连友谊,百货,辽宁,71.49,3.56,3.56,619036.94,493532.16,29430.44,6882.72,0.19,0.032,3.94,2.31,19970124,76679.78,2.15,27.92,-36.46,17.47,1.74,30698
300286,安科瑞,电器仪表,上海,30.68,1.01,1.45,80375.85,59054.81,13280.26,20660.73,1.43,0.34,4.29,4.78,20120113,25400.65,1.76,23.58,21.69,55.48,25.38,10086
002101,广东鸿图,机械基件,广东,36.06,2.48,3.55,394530.91,179930.2,129838.77,116423.35,3.28,0.22,8.89,2.55,20061229,68494.65,1.93,32.71,72.04,25.05,7.1,15857
600883,博闻科技,水泥,云南,17.33,2.36,2.36,73582.18,42853.1,1491.35,714.46,0.03,0.163,2.87,3.94,19951208,29241.71,1.24,-2.54,2658.77,6.74,691.95,15619
000423,东阿阿胶,中成药,山东,22.89,6.54,6.54,1162119.0,909868.13,146389.81,69067.68,1.06,1.378,13.24,4.77,19960729,683481.63,10.45,9.72,8.75,66.13,30.72,68187
600026,中远海能,水运,上海,12.06,27.36,40.32,5926654.0,932236.38,3432512.5,759520.5,1.88,0.14,6.93,0.97,20020523,1306071.25,3.24,-38.75,3.07,31.37,21.13,131893
002095,生 意 宝,互联网,浙江,327.23,2.52,2.53,120690.35,103618.05,6408.85,32617.25,1.29,0.026,3.28,10.28,20061215,20887.82,0.83,90.92,9.33,36.08,7.39,44739
601939,建设银行,银行,北京,6.01,95.94,2500.11,2169520384.0,0.0,16762600.0,13454301.0,0.54,0.28,6.52,1.03,20070925,85684400.0,3.43,-9.12,3.03,0.0,40.99,408558
600108,亚盛集团,农业综合,甘肃,111.96,19.47,19.47,787976.13,294018.69,132633.06,53094.75,0.27,0.01,2.41,1.86,19970818,176524.52,0.91,-6.61,44.47,29.6,5.23,182709
002089,新 海 宜,通信设备,江苏,177.23,9.33,13.75,514535.91,218821.97,128407.07,36654.9,0.27,0.009,1.39,4.84,20061130,76939.3,0.56,-20.44,214.81,22.05,4.72,50270
600119,长江投资,仓储物流,上海,119.67,3.07,3.07,290256.38,162819.36,36599.7,33174.71,1.08,0.033,3.16,4.96,19980115,26825.35,0.87,135.08,-51.2,7.29,1.31,46504
300171,东富龙,医疗保健,上海,33.75,3.34,6.28,414542.59,330378.72,40657.7,115950.72,1.85,0.083,4.74,2.36,20110201,100112.09,1.59,6.28,-39.69,38.02,11.54,35098
002862,实丰文化,文教休闲,广东,104.16,0.2,0.8,33110.1,21145.71,8186.71,12461.55,1.56,0.09,5.01,5.36,20170411,10311.6,1.29,0.0,0.0,24.34,6.22,9224
002240,威华股份,家居用品,广东,493.62,4.9,4.91,249659.77,96584.3,120452.67,95952.56,1.96,0.016,2.9,5.4,20080523,-11069.07,-0.23,50.88,112.21,7.93,0.89,39635
002319,乐通股份,染料涂料,广东,0.0,2.0,2.0,108860.42,32056.3,47386.44,10375.15,0.52,-0.02,2.38,6.55,20091211,12202.53,0.61,-37.2,-131.29,25.76,-4.34,22573
600039,四川路桥,建筑施工,四川,36.76,30.2,30.2,6102845.5,2911445.5,243750.09,122907.4,0.41,0.03,3.19,1.39,20030325,459899.94,1.52,-40.21,-17.48,11.44,2.2,149317
002758,华通医药,医药商业,浙江,58.47,1.24,2.1,115017.61,73584.03,11295.87,13910.95,0.66,0.114,2.68,4.96,20150527,19124.35,0.91,10.55,17.13,13.18,3.59,15171
300320,海达股份,橡胶,江苏,61.7,2.36,2.93,122514.86,83606.7,31372.58,6600.5,0.23,0.08,2.93,6.79,20120601,44548.4,1.52,27.17,17.12,31.01,10.1,10889
603708,家家悦,超市连锁,山东,19.54,1.17,4.68,604779.5,458144.19,110168.65,141133.13,3.02,0.197,5.18,2.98,20161213,54967.95,1.17,0.0,0.0,21.18,3.04,44446
600321,国栋建设,其他建材,四川,3020.28,11.81,15.11,301278.34,57650.91,148870.52,102156.92,0.68,0.001,1.77,2.48,20010524,4923.28,0.03,47.16,100.84,8.91,0.32,111730
300455,康拓红外,运输设备,北京,87.95,1.64,3.92,79436.67,67425.81,10003.25,8014.55,0.2,0.031,1.68,6.55,20150515,26459.85,0.67,10.48,10.72,50.63,31.71,19214
600577,精达股份,电气设备,安徽,24.83,19.55,19.55,555438.69,387422.0,91837.59,2283.4,0.01,0.088,1.5,2.93,20020911,79675.86,0.41,32.24,53.07,11.36,3.24,146918
002010,传化智联,染料涂料,浙江,164.79,4.13,32.58,1790210.38,874179.13,139914.7,595542.0,1.83,0.023,3.4,4.51,20040629,181518.5,0.56,129.8,4.2,21.04,3.36,15636
603022,新通联,广告包装,上海,142.37,0.65,2.0,74466.4,46037.55,18799.78,13474.82,0.67,0.027,2.92,5.24,20150518,23001.57,1.15,21.66,-25.11,20.67,4.27,30039
600227,赤天化,农药化肥,贵州,0.0,9.5,17.36,696921.94,186829.42,446876.16,251864.52,1.45,-0.031,2.66,2.46,20000221,6108.56,0.04,-69.59,-133.45,43.99,-22.83,68633
002607,亚夏汽车,汽车服务,安徽,36.15,7.05,8.2,419946.19,219731.34,80005.99,107756.13,1.31,0.03,2.3,1.9,20110810,31088.97,0.38,-2.17,99.0,7.41,1.78,31474
603198,迎驾贡酒,白酒,安徽,26.41,1.66,8.0,483714.19,328171.69,130159.6,126300.05,1.58,0.412,4.72,4.6,20150528,149212.06,1.87,3.4,-0.32,61.03,21.07,39732
002325,洪涛股份,装修装饰,深圳,40.33,9.13,12.45,934365.19,731112.44,26845.72,87061.43,0.7,0.04,3.07,2.12,20091222,132388.13,1.06,-23.95,-38.65,23.01,6.9,58866
600687,刚泰控股,黄金,甘肃,45.82,10.79,14.89,1188191.38,957579.63,44951.15,290303.84,1.95,0.071,3.84,3.39,19931108,123799.17,0.83,-10.52,-48.24,11.04,5.09,43942
603518,维格娜丝,服饰,江苏,30.61,0.56,1.52,626243.94,195720.77,10659.49,74053.2,4.87,0.2,10.07,2.37,20141203,54283.55,3.57,63.9,31.79,68.03,9.53,9296
002215,诺 普 信,农药化肥,深圳,17.35,6.95,9.14,340642.88,188515.31,23591.92,29675.8,0.32,0.125,1.9,4.56,20080218,42299.53,0.46,30.87,48.09,36.86,13.27,41275
000564,供销大集,百货,陕西,72.53,6.03,60.08,4760251.5,2668361.75,405673.84,2498448.5,4.16,0.022,4.67,1.38,19940110,-306913.94,-0.51,53.09,516.35,13.52,2.32,57467
300020,银江股份,软件服务,浙江,50.04,6.19,6.56,594325.5,425726.66,19398.73,135190.31,2.06,0.129,4.69,2.75,20091030,81437.72,1.24,10.78,-58.26,24.98,9.03,60194
000715,中兴商业,百货,辽宁,43.32,2.79,2.79,213667.66,91046.31,80107.15,31671.8,1.14,0.123,4.41,2.43,19970508,49870.7,1.79,-3.88,40.29,19.5,2.81,18924
002086,东方海洋,渔业,山东,692.61,4.76,6.88,384288.72,173546.27,134617.3,158567.48,2.31,0.004,4.16,2.56,20061128,51356.23,0.75,8.93,32.56,19.33,1.89,27689
603556,海兴电力,电器仪表,浙江,28.16,0.93,3.81,554123.19,490513.16,34479.4,245333.7,6.45,0.37,11.77,3.44,20161110,137311.98,3.61,0.0,0.0,47.69,25.79,49196
002788,鹭燕医药,医药商业,福建,34.22,0.69,1.28,454854.84,389879.34,35936.85,65027.1,5.07,0.495,10.98,3.09,20160218,57662.01,4.5,7.17,16.53,7.67,1.74,25161
300415,伊之密,专用机械,广东,30.77,2.86,4.32,193971.94,109292.05,39986.05,22821.45,0.53,0.12,2.07,7.16,20150123,36295.55,0.84,54.01,319.17,36.4,12.62,12452
002155,湖南黄金,黄金,湖南,47.5,9.96,12.02,646942.94,189628.11,222796.77,129106.65,1.07,0.056,3.65,2.89,20070816,161427.52,1.34,1.81,1110.32,20.38,4.84,117755
603617,君禾股份,专用机械,浙江,24.28,0.25,1.0,43184.46,26596.83,12739.74,2808.25,0.28,0.239,3.29,7.06,20170703,12699.42,1.27,0.0,0.0,27.58,13.02,26186
