code,name,EPS,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601318,,,,,,,,,,
600036,招商银行,2.22,-3.48,12.47,19.28,10.79,559.11,8.06,10派6.7,03-19
601398,工商银行,0.78,4.0,4.33,19.96,,2758.11,5.01,10派2.554,03-27
601288,农业银行,0.55,7.84,3.05,19.57,0.11,1794.61,7.9,,03-25
601166,兴业银行,2.47,14.35,13.54,21.21,35.8,471.38,14.38,10派5.7,04-28
